Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2012-02-07,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,0,,,,,,,,,,,,,,,,ACST
2012-02-08,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,0,,,,,,,,,,,,,,,,ACST
2012-02-09,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,0,,,,,,,,,,,,,,,,ACST
2012-02-10,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,0,,,,,,,,,,,,,,,,ACST
2012-02-13,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,580.7999877929688,0,580.7999877929688,,,,,,,,,,,,,,,ACST
2012-02-14,792.0,792.0,792.0,792.0,792.0,2,623.039990234375,,,,,,,,,,,,,,,ACST
2012-02-15,792.0,792.0,792.0,792.0,792.0,0,665.2799926757813,,,,,,,,,,,,,,,ACST
2012-02-16,792.0,792.0,792.0,792.0,792.0,0,707.5199951171875,,,,,,,,,,,,,,,ACST
2012-02-17,792.0,792.0,792.0,792.0,792.0,0,749.7599975585938,,,,,,,,,,,,,,,ACST
2012-02-21,792.0,792.0,792.0,792.0,792.0,0,792.0,686.3999938964844,,,,,,,,,,,,,,ACST
2012-02-22,792.0,792.0,792.0,792.0,792.0,0,792.0,707.5199951171875,,,,,,,,,,,,,,ACST
2012-02-23,792.0,792.0,792.0,792.0,792.0,0,792.0,728.6399963378906,,,,,,,,,,,,,,ACST
2012-02-24,792.0,792.0,792.0,792.0,792.0,0,792.0,749.7599975585938,,,,,,,,,,,,,,ACST
2012-02-27,792.0,792.0,792.0,792.0,792.0,0,792.0,770.8799987792969,,,,,,,,,,,,,,ACST
2012-02-28,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,,,,,100.0,,,,,,,,,ACST
2012-02-29,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,,,,,100.0,,,,,,,,,ACST
2012-03-01,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,,,,,100.0,,,,,,,,,ACST
2012-03-02,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,,,,,100.0,,,,,,,100.0,100.0,ACST
2012-03-05,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,,,,,100.0,,,,,,,66.66666666666667,88.8888888888889,ACST
2012-03-06,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,739.1999969482422,,,,100.0,,,,922.1045727991147,739.1999969482422,556.2954210973696,33.333333333333336,66.66666666666667,ACST
2012-03-07,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,749.7599975585938,,,,100.0,,,,918.7200073242186,749.7599975585938,580.799987792969,0.0,33.33333333333334,ACST
2012-03-08,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,760.3199981689453,,,,100.0,,,,911.1469752973342,760.3199981689453,609.4930210405564,0.0,11.11111111111112,ACST
2012-03-09,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,770.8799987792969,,,,100.0,,,,897.6000061035159,770.8799987792969,644.1599914550779,0.0,7.105427357601002e-15,ACST
2012-03-12,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,781.4399993896484,,,,100.0,,,,873.4999503981502,781.4399993896484,689.3800483811466,0.0,7.105427357601002e-15,ACST
2012-03-13,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,792.0,,,,100.0,,,,792.0,792.0,792.0,0.0,7.105427357601002e-15,ACST
2012-03-14,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,792.0,,,,100.0,,,,792.0,792.0,792.0,0.0,7.105427357601002e-15,ACST
2012-03-15,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,792.0,,,,100.0,,,,792.0,792.0,792.0,0.0,7.105427357601002e-15,ACST
2012-03-16,792.0,792.0,792.0,792.0,792.0,0,792.0,792.0,792.0,,,,100.0,,,,792.0,792.0,792.0,0.0,7.105427357601002e-15,ACST
2012-03-19,1046.4000244140625,1046.4000244140625,1046.4000244140625,1046.4000244140625,1046.4000244140625,1,842.8800048828125,817.4400024414062,804.7200012207031,,,,100.0,,,,915.610400986221,804.7200012207031,693.8296014551853,33.333333333333336,11.11111111111112,ACST
2012-03-20,1046.4000244140625,1046.4000244140625,1046.4000244140625,1046.4000244140625,1046.4000244140625,0,893.760009765625,842.8800048828125,817.4400024414062,,,,100.0,,,,970.0800170898438,817.4400024414062,664.7999877929688,66.66666666666667,33.33333333333334,ACST
2012-03-21,1046.4000244140625,1046.4000244140625,1046.4000244140625,1046.4000244140625,1046.4000244140625,0,944.6400146484375,868.3200073242188,830.1600036621094,,,,100.0,,,,1011.8379603193675,830.1600036621094,648.4820470048512,100.0,66.66666666666667,ACST
2012-03-22,1022.4000244140625,1022.4000244140625,1003.2000122070312,1008.0,1008.0,17,987.8400146484375,889.9200073242188,840.9600036621093,,,,87.28495010938954,,,,1037.3639130395727,840.9600036621093,644.5560942846461,94.96855074306616,87.2117391365776,ACST
2012-03-23,1008.0,1008.0,1008.0,1008.0,1008.0,0,1031.0400146484376,911.5200073242188,851.7600036621094,,,,87.28495010938954,,,,1059.6277291568192,851.7600036621094,643.8922781673996,89.93710148613233,94.96855074306616,ACST
