Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1995-11-17,10.75,10.75,10.0,10.0,9.84389877319336,1867800,,,,,,,,,,,,,,,,AEIS
1995-11-20,10.375,10.375,10.0,10.0,9.84389877319336,314000,,,,,,,,,,,,,,,,AEIS
1995-11-21,10.375,10.375,9.5,9.5,9.351704597473145,296700,,,,,,,,,,,,,,,,AEIS
1995-11-22,10.0,10.0,9.5,9.5,9.351704597473145,216200,,,,,,,,,,,,,,,,AEIS
1995-11-24,9.75,9.75,9.5,9.75,9.597800254821777,20500,9.75,,,,,,,,,,,,,,,AEIS
1995-11-27,9.5,9.75,8.75,9.0,8.859509468078613,73300,9.55,,,,,,,,,,,,,,,AEIS
1995-11-28,8.75,9.25,8.75,9.25,9.105607986450195,37300,9.4,,,,,,,,,,,,,,,AEIS
1995-11-29,9.5,10.0,9.0,9.875,9.720850944519043,283800,9.475,,,,,,,,,,,,,,,AEIS
1995-11-30,10.5,10.875,10.0,10.5,10.33609390258789,657800,9.675,,,,,,,,,,,,,,,AEIS
1995-12-01,10.5,11.0,10.125,10.5,10.33609390258789,245700,9.825,9.7875,,,,,,,,,,,,,,AEIS
1995-12-04,11.0,11.0,10.5,10.5,10.33609390258789,67000,10.125,9.8375,,,,,,,,,,,,,,AEIS
1995-12-05,11.0,11.0,10.5,10.6875,10.52066707611084,82900,10.4125,9.90625,,,,,,,,,,,,,,AEIS
1995-12-06,11.0,11.0,10.25,10.375,10.213044166564941,62700,10.5125,9.99375,,,,,,,,,,,,,,AEIS
1995-12-07,10.875,10.875,10.25,10.3125,10.151518821716309,29900,10.475,10.075,,,,,,,,,,,,,,AEIS
1995-12-08,10.875,11.0,10.25,10.25,10.089996337890625,84200,10.425,10.125,,,,,53.44827586206896,,,,,,,,,AEIS
1995-12-11,11.0,11.0,10.375,10.625,10.459141731262207,106600,10.45,10.2875,,,,,58.1145584725537,,,,,,,,,AEIS
1995-12-12,10.5,10.875,10.0,10.125,9.966950416564941,148300,10.3375,10.375,,,,,50.80243941582411,,,,,,,,,AEIS
1995-12-13,10.0,10.5,9.625,9.625,9.474752426147461,162700,10.1875,10.35,,,,,44.74010371932724,,,,,,,61.111111111111114,68.20987654320989,AEIS
1995-12-14,10.0,10.0,9.5,9.5,9.351704597473145,104300,10.025,10.25,,,,,43.347448391312845,,,,,,,44.44444444444445,58.64197530864198,AEIS
1995-12-15,9.5,10.0,9.5,9.5,9.351704597473145,98700,9.875,10.15,9.96875,,,,43.34744839131284,,,,10.937399188302964,9.96875,9.000100811697036,35.18518518518519,46.91358024691359,AEIS
1995-12-18,9.5,10.0,8.5,8.5,8.367313385009766,129300,9.45,9.95,9.89375,,,,33.6338074545122,,,,11.054366754144077,9.89375,8.733133245855925,22.22222222222223,33.95061728395063,AEIS
1995-12-19,8.5,9.0,8.5,8.75,8.613410949707031,49500,9.175,9.75625,9.83125,,,,37.40995096783137,,,,11.09251176902335,9.83125,8.569988230976652,14.44444444444445,23.950617283950624,AEIS
1995-12-20,9.0,9.0,8.625,8.625,8.490362167358398,46100,8.975,9.58125,9.7875,,,,36.29786749306525,,,,11.148450954296301,9.7875,8.426549045703698,5.000000000000004,13.888888888888898,AEIS
1995-12-21,8.625,9.0,8.625,9.0,8.859509468078613,20900,8.875,9.45,9.7625,,,,41.879784820322165,,,,11.1614951751168,9.7625,8.363504824883199,11.666666666666671,10.37037037037038,AEIS
1995-12-22,9.0,9.0,8.25,9.0,8.859509468078613,142600,8.775,9.325,9.725,,,,41.879784820322165,,,,11.162989047246208,9.725,8.287010952753791,17.42424242424243,11.363636363636372,AEIS
1995-12-26,8.75,9.375,8.75,9.375,9.228653907775879,42200,8.95,9.2,9.74375,,,,47.24135985910588,,,,11.152927508335981,9.74375,8.33457249166402,29.393939393939394,19.494949494949502,AEIS
1995-12-27,9.375,9.375,9.0,9.0,8.859509468078613,24300,9.0,9.0875,9.73125,,,,42.97224444494671,,,,11.161994998243932,9.73125,8.300505001756067,31.818181818181824,26.212121212121218,AEIS
1995-12-28,9.25,9.75,9.125,9.375,9.228653907775879,67300,9.15,9.0625,9.70625,,,,48.02994767767812,,,,11.143532592255236,9.70625,8.268967407744766,36.36363636363637,32.52525252525253,AEIS
1995-12-29,9.25,9.75,9.0,9.0,8.859509468078613,30000,9.15,9.0125,9.63125,,,,43.842520559244576,,,,11.05147225373357,9.63125,8.21102774626643,31.818181818181824,33.33333333333334,AEIS
1996-01-02,9.75,9.75,9.0,9.0,8.859509468078613,10800,9.15,8.9625,9.55625,,,,43.84252055924457,,,,10.943074159726079,9.55625,8.169425840273922,32.25108225108225,33.47763347763348,AEIS
1996-01-03,9.0,9.75,9.0,9.75,9.597800254821777,7500,9.225,9.0875,9.51875,,,,53.28870493951969,,,,10.840503097215931,9.51875,8.19699690278407,40.83694083694084,34.96873496873497,AEIS
1996-01-04,9.75,9.75,8.75,9.0,8.859509468078613,10000,9.225,9.1125,9.434375,,,,45.11602767271017,,,,10.658784934417403,9.434375,8.209965065582596,46.03174603174603,39.70658970658971,AEIS
1996-01-05,9.25,9.25,8.25,8.75,8.613410949707031,71100,9.1,9.125,9.353125,,,,42.7617993333166,,,,10.531892232111568,9.353125,8.174357767888432,46.03174603174603,44.300144300144304,AEIS
1996-01-08,8.75,8.75,8.25,8.25,8.1212158203125,200,8.95,9.05,9.25,,,,38.441331018188876,-0.32602019795157666,-0.28949678095008735,-0.03652341700148931,10.435854122563143,9.25,8.064145877436857,23.80952380952381,38.62433862433863,AEIS
1996-01-09,8.25,8.75,8.25,8.75,8.613410949707031,11000,8.9,9.025,9.175,,,,44.4821042618562,-0.32579448042784165,-0.2967563208456382,-0.02903815958220346,10.285742994576147,9.175,8.064257005423855,20.634920634920636,30.15873015873016,AEIS
1996-01-10,8.75,8.75,7.375,7.375,7.259875774383545,62500,8.425,8.825,9.0125,,,,34.46577239186909,-0.4315914882889871,-0.323723354334308,-0.10786813395467909,10.176813102219539,9.0125,7.84818689778046,11.111111111111114,18.518518518518523,AEIS
1996-01-11,8.125,8.125,7.375,8.125,7.998167037963867,39200,8.25,8.7375,8.9125,,,,42.12145990918095,-0.4497334005643676,-0.3489253635803199,-0.10080803698404772,10.019579491274243,8.9125,7.805420508725756,21.6374269005848,17.79448621553885,AEIS
1996-01-12,8.125,8.125,6.5,7.375,7.259875774383545,768000,7.975,8.5375,8.8,,,,37.4144986214173,-0.5186510423691324,-0.38287049933808237,-0.13578054303105003,10.043483011544561,8.8,7.55651698845544,19.500674763832663,17.416404258509527,AEIS
