Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1999-06-30,7.0,7.75,7.0,7.4375,7.4375,833800,,,,,,,,,,,,,,,,AIOT
1999-07-01,7.5625,8.5,7.5,8.09375,8.09375,530300,,,,,,,,,,,,,,,,AIOT
1999-07-02,8.5,9.25,8.25,9.1875,9.1875,321800,,,,,,,,,,,,,,,,AIOT
1999-07-06,9.375,9.375,8.5,8.625,8.625,277500,,,,,,,,,,,,,,,,AIOT
1999-07-07,9.0,9.0,8.0,8.4375,8.4375,182700,8.35625,,,,,,,,,,,,,,,AIOT
1999-07-08,8.75,8.75,7.625,7.875,7.875,175300,8.44375,,,,,,,,,,,,,,,AIOT
1999-07-09,8.0,8.0,7.5625,7.75,7.75,61900,8.375,,,,,,,,,,,,,,,AIOT
1999-07-12,7.625,8.375,7.5,7.875,7.875,45700,8.1125,,,,,,,,,,,,,,,AIOT
1999-07-13,7.96875,7.96875,7.6875,7.6875,7.6875,26500,7.925,,,,,,,,,,,,,,,AIOT
1999-07-14,7.6875,7.84375,7.5,7.8125,7.8125,75800,7.8,8.078125,,,,,,,,,,,,,,AIOT
1999-07-15,7.75,8.5,7.5625,8.125,8.125,229800,7.85,8.146875,,,,,,,,,,,,,,AIOT
1999-07-16,8.25,9.5,8.0,8.875,8.875,410400,8.075,8.225,,,,,,,,,,,,,,AIOT
1999-07-19,9.375,9.4375,8.625,9.1875,9.1875,110100,8.3375,8.225,,,,,,,,,,,,,,AIOT
1999-07-20,8.875,9.0,8.25,8.75,8.75,62700,8.55,8.2375,,,,,,,,,,,,,,AIOT
1999-07-21,8.5,8.8125,7.875,8.3125,8.3125,48300,8.65,8.225,,,,,57.446808510638306,,,,,,,,,AIOT
1999-07-22,8.4375,8.4375,7.9375,8.3125,8.3125,25500,8.6875,8.26875,,,,,57.446808510638306,,,,,,,,,AIOT
1999-07-23,8.0625,8.0625,7.625,7.8125,7.8125,24600,8.475,8.275,,,,,52.28600893777931,,,,,,,,,AIOT
1999-07-26,7.84375,7.84375,6.6875,6.9375,6.9375,79000,8.025,8.18125,,,,,44.71539812602236,,,,,,,21.712962962962962,34.807098765432094,AIOT
1999-07-27,7.0,7.6875,7.0,7.5,7.5,74700,7.775,8.1625,,,,,49.752271351015764,,,,,,,17.800925925925924,23.93518518518518,AIOT
1999-07-28,7.75,7.75,7.3125,7.375,7.375,34300,7.5875,8.11875,8.0984375,,,,48.690638203107206,,,,9.290415078176297,8.0984375,6.906459921823702,20.740740740740737,20.084876543209873,AIOT
1999-07-29,7.3125,7.75,7.3125,7.75,7.75,71500,7.475,8.08125,8.1140625,,,,51.99974683046356,,,,9.278857781100955,8.1140625,6.949267218899044,30.37037037037037,22.970679012345673,AIOT
