Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1993-05-03,4.25,6.0,3.0,3.5,3.5,75200,,,,,,,,,,,,,,,,ANIK
1993-05-04,3.5,4.0,3.5,4.0,4.0,7900,,,,,,,,,,,,,,,,ANIK
1993-05-05,4.0,4.0,3.25,4.0,4.0,26100,,,,,,,,,,,,,,,,ANIK
1993-05-06,4.0,4.0,3.625,4.0,4.0,1900,,,,,,,,,,,,,,,,ANIK
1993-05-07,4.25,4.5,4.25,4.5,4.5,12100,4.0,,,,,,,,,,,,,,,ANIK
1993-05-10,4.5,4.75,4.25,4.25,4.25,29000,4.15,,,,,,,,,,,,,,,ANIK
1993-05-11,4.25,4.25,4.25,4.25,4.25,1100,4.2,,,,,,,,,,,,,,,ANIK
1993-05-12,4.75,4.75,4.75,4.75,4.75,100,4.35,,,,,,,,,,,,,,,ANIK
1993-05-13,4.375,4.375,4.25,4.375,4.375,1800,4.425,,,,,,,,,,,,,,,ANIK
1993-05-14,4.375,4.375,4.375,4.375,4.375,0,4.4,4.2,,,,,,,,,,,,,,ANIK
1993-05-17,4.375,4.5,4.25,4.5,4.5,3600,4.45,4.3,,,,,,,,,,,,,,ANIK
1993-05-18,4.5,4.5,4.5,4.5,4.5,0,4.5,4.35,,,,,,,,,,,,,,ANIK
1993-05-19,4.5,4.625,4.25,4.625,4.625,5600,4.475,4.4125,,,,,,,,,,,,,,ANIK
1993-05-20,4.625,4.75,4.25,4.75,4.75,5700,4.55,4.4875,,,,,,,,,,,,,,ANIK
1993-05-21,4.625,4.625,4.0,4.0,4.0,18200,4.475,4.4375,,,,,57.692307692307686,,,,,,,,,ANIK
1993-05-24,4.0,4.25,3.75,4.125,4.125,35000,4.4,4.425,,,,,59.375,,,,,,,,,ANIK
1993-05-25,3.75,4.125,3.5,3.75,3.75,92300,4.25,4.375,,,,,52.61425251742835,,,,,,,,,ANIK
1993-05-26,3.5,3.75,3.125,3.25,3.25,117500,3.975,4.225,,,,,45.220720028678244,,,,,,,28.67521367521368,42.33618233618234,ANIK
