Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1996-06-20,3.0,3.125,2.9375,2.96875,2.96875,12638800,,,,,,,,,,,,,,,,ANSS
1996-06-21,3.03125,3.09375,3.0,3.0,3.0,1881200,,,,,,,,,,,,,,,,ANSS
1996-06-24,3.0625,3.21875,3.0,3.21875,3.21875,1606000,,,,,,,,,,,,,,,,ANSS
1996-06-25,3.21875,3.28125,3.15625,3.15625,3.15625,1895600,,,,,,,,,,,,,,,,ANSS
1996-06-26,3.1875,3.1875,3.125,3.15625,3.15625,399200,3.1,,,,,,,,,,,,,,,ANSS
1996-06-27,3.1875,3.34375,3.15625,3.25,3.25,348400,3.15625,,,,,,,,,,,,,,,ANSS
1996-06-28,3.25,3.34375,3.25,3.28125,3.28125,157200,3.2125,,,,,,,,,,,,,,,ANSS
1996-07-01,3.3125,3.3125,3.21875,3.21875,3.21875,117200,3.2125,,,,,,,,,,,,,,,ANSS
1996-07-02,3.21875,3.25,3.21875,3.25,3.25,85600,3.23125,,,,,,,,,,,,,,,ANSS
1996-07-03,3.1875,3.40625,3.1875,3.40625,3.40625,370400,3.28125,3.190625,,,,,,,,,,,,,,ANSS
1996-07-05,3.3125,3.3125,3.21875,3.25,3.25,238800,3.28125,3.21875,,,,,,,,,,,,,,ANSS
1996-07-08,3.1875,3.28125,3.1875,3.28125,3.28125,55200,3.28125,3.246875,,,,,,,,,,,,,,ANSS
1996-07-09,3.28125,3.3125,3.1875,3.265625,3.265625,739600,3.290625,3.2515625,,,,,,,,,,,,,,ANSS
1996-07-10,3.25,3.28125,3.1875,3.28125,3.28125,184000,3.296875,3.2640625,,,,,,,,,,,,,,ANSS
1996-07-11,3.25,3.28125,3.09375,3.125,3.125,367600,3.240625,3.2609375,,,,,57.35294117647059,,,,,,,,,ANSS
1996-07-12,3.09375,3.125,3.0625,3.09375,3.09375,54800,3.209375,3.2453125,,,,,55.59210526315789,,,,,,,,,ANSS
1996-07-15,3.03125,3.09375,2.9375,2.96875,2.96875,158800,3.146875,3.2140625,,,,,49.098629320619786,,,,,,,,,ANSS
1996-07-16,2.96875,3.0,2.71875,2.71875,2.71875,190800,3.0375,3.1640625,,,,,39.22926891802799,,,,,,,9.914529914529917,24.159544159544165,ANSS
1996-07-17,2.78125,3.09375,2.75,3.03125,3.03125,117600,2.9875,3.1421875,,,,,52.17131114097293,,,,,,,17.373737373737374,15.81973581973582,ANSS
1996-07-18,3.03125,3.1875,3.03125,3.1875,3.1875,127600,3.0,3.1203125,3.15546875,,,,57.09175001736845,,,,3.4598115036820176,3.15546875,2.851125996317982,37.87878787878788,21.72235172235172,ANSS
1996-07-19,3.21875,3.21875,3.15625,3.21875,3.21875,30800,3.025,3.1171875,3.16796875,,,,58.02189966501864,,,,3.460932291620365,3.16796875,2.875005208379635,62.121212121212125,39.12457912457913,ANSS
1996-07-22,3.15625,3.21875,3.125,3.1875,3.1875,177600,3.06875,3.1078125,3.17734375,,,,56.69826993182438,,,,3.460026731392153,3.17734375,2.8946607686078467,69.6969696969697,56.565656565656575,ANSS
1996-07-23,3.1875,3.21875,3.09375,3.09375,3.09375,83200,3.14375,3.090625,3.17109375,,,,52.806326950664975,,,,3.4553614151832823,3.17109375,2.8868260848167173,65.15151515151517,65.65656565656566,ANSS
1996-07-24,3.09375,3.125,2.96875,3.125,3.125,46400,3.1625,3.075,3.16953125,,,,53.94126484748948,,,,3.4544508864218377,3.16953125,2.884611613578162,63.71610845295057,66.18819776714516,ANSS
1996-07-25,3.09375,3.125,3.09375,3.09375,3.09375,25600,3.14375,3.071875,3.16640625,,,,52.57953871061477,,,,3.4532048168875473,3.16640625,2.879607683112453,62.04146730462521,63.63636363636365,ANSS
1996-07-26,3.09375,3.125,3.09375,3.09375,3.09375,159600,3.11875,3.071875,3.15859375,,,,52.57953871061477,,,,3.4443689771781885,3.15859375,2.8728185228218117,64.9122807017544,63.55661881977672,ANSS
1996-07-29,3.0625,3.078125,3.0625,3.0625,3.0625,27200,3.09375,3.08125,3.14765625,,,,51.08391551423487,,,,3.430546432701272,3.14765625,2.864766067298728,62.47563352826512,63.143127178214904,ANSS
1996-07-30,3.0625,3.0625,2.9375,2.9375,2.9375,145200,3.0625,3.103125,3.13359375,,,,45.50775225706299,,,,3.428649855628645,3.13359375,2.8385376443713555,54.38596491228071,60.5912930474334,ANSS
