Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2022-02-07,75.0,81.25,53.75,55.25,55.25,38848,,,,,,,,,,,,,,,,AREB
2022-02-08,90.0,105.0,63.75,65.5,65.5,722848,,,,,,,,,,,,,,,,AREB
2022-02-09,62.5,62.82500076293945,51.25,53.75,53.75,67820,,,,,,,,,,,,,,,,AREB
2022-02-10,66.5,95.5,66.25,76.75,76.75,2407864,,,,,,,,,,,,,,,,AREB
2022-02-11,75.75,75.75,62.75,70.25,70.25,87016,64.3,,,,,,,,,,,,,,,AREB
2022-02-14,66.25,72.5,62.75,70.25,70.25,34056,67.3,,,,,,,,,,,,,,,AREB
2022-02-15,66.5,66.75,58.75,61.75,61.75,36724,66.55,,,,,,,,,,,,,,,AREB
2022-02-16,62.5,64.0,53.0,55.0,55.0,27808,66.8,,,,,,,,,,,,,,,AREB
2022-02-17,53.75,56.5,48.25,49.25,49.25,24544,61.3,,,,,,,,,,,,,,,AREB
2022-02-18,48.25,50.0,42.5,43.17499923706055,43.17499923706055,22300,55.88499984741211,60.09249992370606,,,,,,,,,,,,,,AREB
2022-02-22,39.75,42.5,38.0,39.25,39.25,18496,49.68499984741211,58.492499923706056,,,,,,,,,,,,,,AREB
2022-02-23,37.75,40.75,36.25,37.0,37.0,11632,44.73499984741211,55.642499923706055,,,,,,,,,,,,,,AREB
2022-02-24,32.0,36.0,31.25,35.0,35.0,16148,40.73499984741211,53.767499923706055,,,,,,,,,,,,,,AREB
2022-02-25,35.0,35.0,32.25,33.25,33.25,7928,37.53499984741211,49.41749992370605,,,,,,,,,,,,,,AREB
2022-02-28,32.25,35.0,31.0,33.25,33.25,6640,35.55,45.71749992370606,,,,,37.57062146892656,,,,,,,,,AREB
2022-03-01,41.0,44.5,35.5,39.5,39.5,699536,35.6,42.642499923706055,,,,,41.983037156704356,,,,,,,,,AREB
2022-03-02,35.5,38.75,35.0,38.5,38.5,51900,35.9,40.31749992370605,,,,,41.47790055248618,,,,,,,,,AREB
2022-03-03,36.0,38.25,36.0,38.0,38.0,21844,36.5,38.617499923706056,,,,,41.21090634412739,,,,,,,13.482886550315419,9.691789029204223,AREB
2022-03-04,37.0,41.25,35.75,39.25,39.25,33188,37.7,37.617499923706056,,,,,42.2123914368402,,,,,,,15.716627716530667,12.8272538768296,AREB
