Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1997-12-03,15.5,15.5,15.0,15.0,15.0,1400,,,,,,,,,,,,,,,,ASRT
1997-12-04,15.0,15.0,15.0,15.0,15.0,0,,,,,,,,,,,,,,,,ASRT
1997-12-05,15.0,15.0,15.0,15.0,15.0,0,,,,,,,,,,,,,,,,ASRT
1997-12-08,15.0,15.0,15.0,15.0,15.0,0,,,,,,,,,,,,,,,,ASRT
1997-12-09,15.0,15.0,15.0,15.0,15.0,1300,15.0,,,,,,,,,,,,,,,ASRT
1997-12-10,15.0,15.5,15.0,15.5,15.5,10375,15.1,,,,,,,,,,,,,,,ASRT
1997-12-11,15.0,15.0,15.0,15.0,15.0,3675,15.1,,,,,,,,,,,,,,,ASRT
1997-12-12,15.0,15.0,14.5,14.5,14.5,3175,15.0,,,,,,,,,,,,,,,ASRT
1997-12-15,14.5,14.75,14.5,14.75,14.75,1500,14.95,,,,,,,,,,,,,,,ASRT
1997-12-16,14.0,14.0,13.5,13.5,13.5,1750,14.65,14.825,,,,,,,,,,,,,,ASRT
1997-12-17,12.5,14.0,12.5,12.5,12.5,225,14.05,14.575,,,,,,,,,,,,,,ASRT
1997-12-18,12.5,14.0,10.0,10.0,10.0,14250,13.05,14.075,,,,,,,,,,,,,,ASRT
1997-12-19,11.75,11.75,11.75,11.75,11.75,3425,12.5,13.75,,,,,,,,,,,,,,ASRT
1997-12-22,11.75,12.25,10.75,11.25,11.25,6850,11.8,13.375,,,,,,,,,,,,,,ASRT
1997-12-23,12.0,13.0,11.75,13.0,13.0,9150,11.7,13.175,,,,,40.476190476190474,,,,,,,,,ASRT
1997-12-24,14.0,16.0,14.0,15.0,15.0,4250,12.2,13.125,,,,,50.60790273556231,,,,,,,,,ASRT
1997-12-26,15.5,15.5,14.75,14.75,14.75,375,13.15,13.1,,,,,49.474285714285706,,,,,,,,,ASRT
1997-12-29,14.75,18.75,14.75,17.75,17.75,8100,14.35,13.425,,,,,60.81689142202647,,,,,,,83.69047619047619,69.85810485810487,ASRT
1997-12-30,18.0,18.5,15.75,15.75,15.75,11400,15.25,13.525,,,,,52.37536707221126,,,,,,,77.81746031746032,77.95214045214045,ASRT
1997-12-31,16.0,17.0,15.75,17.0,17.0,9225,16.05,13.875,14.35,,,,56.444521307588225,,,,17.99485939372153,14.35,10.70514060627847,78.09523809523809,79.86772486772486,ASRT
1998-01-02,16.0,17.0,16.0,17.0,17.0,1350,16.45,14.325,14.45,,,,56.44452130758823,,,,18.266411927452282,14.45,10.633588072547717,75.23809523809523,77.05026455026454,ASRT
