Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1986-06-18,0.0,3.375,3.125,3.25,2.780487060546875,1435200,,,,,,,,,,,,,,,,ASTE
1986-06-19,3.25,3.28125,3.125,3.125,2.6735453605651855,598800,,,,,,,,,,,,,,,,ASTE
1986-06-20,3.125,3.25,3.0625,3.125,2.6735453605651855,319600,,,,,,,,,,,,,,,,ASTE
1986-06-23,3.125,3.25,3.0,3.1875,2.727015972137451,94400,,,,,,,,,,,,,,,,ASTE
1986-06-24,3.1875,3.1875,2.96875,3.0,2.566603660583496,257600,3.1375,,,,,,,,,,,,,,,ASTE
1986-06-25,3.0,3.1875,2.96875,3.125,2.6735453605651855,328000,3.1125,,,,,,,,,,,,,,,ASTE
1986-06-26,3.125,3.1875,3.0,3.0,2.566603660583496,94000,3.0875,,,,,,,,,,,,,,,ASTE
1986-06-27,3.0,3.1875,3.0,3.0,2.566603660583496,104400,3.0625,,,,,,,,,,,,,,,ASTE
1986-06-30,3.0,3.1875,3.0,3.0625,2.6200742721557617,117600,3.0375,,,,,,,,,,,,,,,ASTE
1986-07-01,3.0625,3.1875,3.0,3.0,2.566603660583496,242800,3.0375,3.0875,,,,,,,,,,,,,,ASTE
1986-07-02,3.0,3.1875,2.96875,3.03125,2.59333872795105,143600,3.01875,3.065625,,,,,,,,,,,,,,ASTE
1986-07-03,3.03125,3.125,2.90625,2.90625,2.4863975048065186,250000,3.0,3.04375,,,,,,,,,,,,,,ASTE
1986-07-07,2.90625,2.90625,2.8125,2.875,2.4596614837646484,54000,2.975,3.01875,,,,,,,,,,,,,,ASTE
1986-07-08,2.875,3.0,2.875,2.875,2.4596614837646484,20800,2.9375,2.9875,,,,,,,,,,,,,,ASTE
1986-07-09,2.875,3.0,2.875,3.0,2.566603660583496,80000,2.9375,2.9875,,,,,38.23529411764706,,,,,,,,,ASTE
1986-07-10,3.0,3.125,2.9375,2.9375,2.5131325721740723,4000,2.91875,2.96875,,,,,35.95744680851063,,,,,,,,,ASTE
1986-07-11,2.9375,2.9375,2.9375,2.9375,2.5131325721740723,22800,2.925,2.9625,,,,,35.95744680851064,,,,,,,,,ASTE
1986-07-14,2.9375,2.9375,2.875,2.9375,2.5131325721740723,73600,2.9375,2.95625,,,,,35.95744680851063,,,,,,,30.15873015873016,29.700176366843035,ASTE
1986-07-15,2.9375,2.9375,2.9375,2.9375,2.5131325721740723,52800,2.95,2.94375,,,,,35.95744680851063,,,,,,,31.746031746031747,31.42857142857143,ASTE
1986-07-16,2.9375,3.0,2.875,3.0,2.566603660583496,69200,2.95,2.94375,3.015625,,,,40.70851470393298,,,,3.2157226324197765,3.015625,2.8155273675802235,38.88888888888889,33.5978835978836,ASTE
1986-07-17,3.0,3.125,2.96875,3.0,2.566603660583496,125200,2.9625,2.940625,3.003125,,,,40.70851470393298,,,,3.1718750000000098,3.003125,2.83437499999999,44.44444444444445,38.35978835978836,ASTE
1986-07-18,3.0,3.1875,3.0,3.1875,2.727015972137451,5200,3.0125,2.96875,3.00625,,,,52.87276127870174,,,,3.185876348290001,3.00625,2.826623651709999,66.66666666666667,50.0,ASTE
1986-07-21,3.03125,3.03125,3.0,3.0,2.566603660583496,20000,3.025,2.98125,3.0,,,,43.30490471924937,,,,3.1711632992203644,3.0,2.8288367007796356,66.66666666666667,59.25925925925926,ASTE
1986-07-22,3.0,3.0,3.0,3.0,2.566603660583496,9600,3.0375,2.99375,2.990625,,,,43.30490471924937,,,,3.1386589910290956,2.990625,2.8425910089709046,66.66666666666667,66.66666666666667,ASTE
1986-07-23,3.0,3.1875,3.0,3.1875,2.727015972137451,22000,3.075,3.0125,3.0,,,,53.13954597685054,,,,3.1711632992203644,3.0,2.8288367007796356,66.66666666666667,66.66666666666667,ASTE
1986-07-24,3.1875,3.1875,3.0,3.0,2.566603660583496,10400,3.075,3.01875,2.99375,,,,44.775147055383144,,,,3.1550435987570475,2.99375,2.8324564012429523,66.66666666666667,66.66666666666667,ASTE
1986-07-25,3.0,3.1875,3.0,3.1875,2.727015972137451,2400,3.075,3.04375,3.003125,,,,52.779593490815266,,,,3.1852350285541853,3.003125,2.8210149714458144,83.33333333333333,72.22222222222221,ASTE
1986-07-28,3.1875,3.1875,3.0,3.1875,2.727015972137451,2000,3.1125,3.06875,3.0125,,,,52.77959349081528,,,,3.2115210416011277,3.0125,2.8134789583988726,83.33333333333333,77.77777777777776,ASTE
1986-07-29,3.0,3.0,2.9375,2.9375,2.5131325721740723,20800,3.1,3.06875,3.00625,,,,43.11591550045911,,,,3.2064452172255895,3.00625,2.8060547827744107,73.33333333333333,79.99999999999996,ASTE
1986-07-30,2.9375,3.0,2.9375,2.9375,2.5131325721740723,5200,3.05,3.0625,3.003125,,,,43.11591550045911,,,,3.205551684258786,3.003125,2.8006983157412138,46.666666666666664,67.77777777777774,ASTE
1986-07-31,2.9375,3.1875,2.9375,3.1875,2.727015972137451,46400,3.0875,3.08125,3.0109375,,,,53.0793637323773,,,,3.228591001867094,3.0109375,2.793283998132906,46.666666666666664,55.55555555555552,ASTE
1986-08-01,3.1875,3.1875,2.9375,2.9375,2.5131325721740723,5600,3.0375,3.05625,3.0125,,,,44.65603518478926,,,,3.2275581316760507,3.0125,2.7974418683239497,46.666666666666664,46.666666666666636,ASTE
1986-08-04,2.9375,2.9375,2.9375,2.9375,2.5131325721740723,2400,2.9875,3.05,3.015625,,,,44.65603518478926,,,,3.2243225982132966,3.015625,2.8069274017867034,46.666666666666664,46.666666666666636,ASTE
1986-08-05,2.9375,3.0625,2.8125,2.8125,2.406190872192383,21600,2.9625,3.03125,3.0125,,,,40.89293575561636,-0.02667693583559627,-0.005361631126632361,-0.02131530470896391,3.231160696056697,3.0125,2.793839303943303,13.333333333333334,35.55555555555553,ASTE
1986-08-06,2.8125,2.875,2.75,2.75,2.352719783782959,14000,2.925,2.9875,3.0,,,,39.11794438992191,-0.04359028466177017,-0.013007361833659924,-0.03058292282811025,3.246855220726647,3.0,2.753144779273353,6.666666666666667,22.222222222222197,ASTE
