Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1998-05-21,10.5,11.5,10.4375,10.625,10.625,3224000,,,,,,,,,,,,,,,,AXTI
1998-05-22,10.625,10.9375,10.5,10.875,10.875,234400,,,,,,,,,,,,,,,,AXTI
1998-05-26,10.75,11.375,10.625,10.9375,10.9375,180200,,,,,,,,,,,,,,,,AXTI
1998-05-27,11.125,11.125,10.8125,10.8125,10.8125,85500,,,,,,,,,,,,,,,,AXTI
1998-05-28,11.125,11.125,10.8125,11.0,11.0,43400,10.85,,,,,,,,,,,,,,,AXTI
1998-05-29,11.1875,11.1875,10.8125,11.125,11.125,55600,10.95,,,,,,,,,,,,,,,AXTI
1998-06-01,11.1875,11.5625,10.8125,11.5625,11.5625,101700,11.0875,,,,,,,,,,,,,,,AXTI
1998-06-02,11.75,12.0,11.25,12.0,12.0,236800,11.3,,,,,,,,,,,,,,,AXTI
1998-06-03,12.0,12.375,11.75,12.125,12.125,160200,11.5625,,,,,,,,,,,,,,,AXTI
1998-06-04,12.125,12.375,11.75,11.875,11.875,279400,11.7375,11.29375,,,,,,,,,,,,,,AXTI
1998-06-05,11.75,11.875,11.0,11.5,11.5,210900,11.8125,11.38125,,,,,,,,,,,,,,AXTI
1998-06-08,11.125,11.25,11.0,11.25,11.25,37300,11.75,11.41875,,,,,,,,,,,,,,AXTI
1998-06-09,11.0,11.5,11.0,11.375,11.375,24400,11.625,11.4625,,,,,,,,,,,,,,AXTI
1998-06-10,11.25,11.4375,11.25,11.375,11.375,85500,11.475,11.51875,,,,,,,,,,,,,,AXTI
1998-06-11,11.25,11.375,11.1875,11.1875,11.1875,69100,11.3375,11.5375,,,,,59.57446808510638,,,,,,,,,AXTI
1998-06-12,11.125,11.375,10.625,11.0,11.0,48400,11.2375,11.525,,,,,55.742725880551305,,,,,,,,,AXTI
1998-06-15,10.875,10.875,10.25,10.25,10.25,91700,11.0375,11.39375,,,,,43.649109860713956,,,,,,,,,AXTI
1998-06-16,10.625,10.6875,10.25,10.375,10.375,43400,10.8375,11.23125,,,,,45.76119545693582,,,,,,,9.103641456582634,21.32094414826863,AXTI
1998-06-17,10.5,10.5,10.125,10.125,10.125,129600,10.5875,11.03125,,,,,42.342926115275745,,,,,,,1.9607843137254914,10.143168378462498,AXTI
1998-06-18,10.375,10.375,10.125,10.125,10.125,69700,10.375,10.85625,11.075,,,,42.342926115275745,,,,12.22037111889555,11.075,9.929628881104449,1.9607843137254914,4.341736694677873,AXTI
1998-06-19,10.125,10.625,10.125,10.625,10.625,48800,10.3,10.76875,11.075,,,,50.85754359443988,,,,12.22037111889555,11.075,9.929628881104449,7.407407407407408,3.7763253449527974,AXTI
1998-06-22,10.625,10.6875,10.5,10.5,10.5,27000,10.35,10.69375,11.05625,,,,48.91281115045067,,,,12.226119116610915,11.05625,9.886380883389085,12.962962962962964,7.443718228031955,AXTI
1998-06-23,10.75,11.125,10.625,11.0625,11.0625,81000,10.4875,10.6625,11.0625,,,,56.89976716961594,,,,12.231099589252034,11.0625,9.893900410747966,26.85185185185186,15.740740740740742,AXTI
1998-06-24,11.0,11.25,11.0,11.25,11.25,33900,10.7125,10.65,11.084375,,,,59.190098242919255,,,,12.249811479393031,11.084375,9.918938520606968,40.87301587301587,26.89594356261023,AXTI
1998-06-25,11.5,13.25,11.125,13.25,13.25,145200,11.3375,10.85625,11.196875,,,,74.65891868840254,,,,12.69493363953983,11.196875,9.698816360460171,68.65079365079366,45.458553791887134,AXTI
1998-06-26,13.5,16.75,13.25,15.0,15.0,243300,12.2125,11.25625,11.390625,,,,81.328104229299,,,,13.623502557659627,11.390625,9.157747442340373,79.29020664869721,62.93800539083558,AXTI
1998-06-29,15.5,15.625,14.625,14.625,14.625,116600,13.0375,11.69375,11.54375,,,,76.6715991460085,,,,14.185393664463472,11.54375,8.902106335536526,80.50314465408805,76.14804831785965,AXTI
1998-06-30,14.75,14.75,14.125,14.375,14.375,67600,13.7,12.09375,11.6625,,,,73.64432238345692,,,,14.575134117083715,11.6625,8.749865882916284,68.55345911949685,76.11560347409403,AXTI
1998-07-01,14.75,14.75,14.375,14.75,14.75,21900,14.4,12.55625,11.79375,,,,75.22453444457454,,,,14.999725865473737,11.79375,8.587774134526262,67.29559748427673,72.1174004192872,AXTI
1998-07-02,14.75,14.8125,14.375,14.5,14.5,10600,14.65,12.99375,11.925,,,,72.12004218019294,,,,15.341549794749062,11.925,8.50845020525094,66.66666666666667,67.50524109014674,AXTI
1998-07-06,14.875,15.375,14.75,14.75,14.75,51200,14.6,13.40625,12.0875,,,,73.30641885199299,,,,15.710646077651283,12.0875,8.464353922348717,68.55345911949685,67.50524109014674,AXTI
1998-07-07,15.125,15.125,14.125,14.125,14.125,78100,14.5,13.76875,12.23125,,,,65.7712766936406,,,,15.937262850760238,12.23125,8.52523714923976,65.40880503144653,66.87631027253667,AXTI
