Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1996-04-02,760.0,810.0,600.0,660.0,660.0,16424,,,,,,,,,,,,,,,,BOSC
1996-04-03,690.0,700.0,600.0,670.0,670.0,4858,,,,,,,,,,,,,,,,BOSC
1996-04-04,600.0,670.0,600.0,600.0,600.0,1233,,,,,,,,,,,,,,,,BOSC
1996-04-08,670.0,670.0,600.0,610.0,610.0,923,,,,,,,,,,,,,,,,BOSC
1996-04-09,600.0,660.0,600.0,600.0,600.0,1535,628.0,,,,,,,,,,,,,,,BOSC
1996-04-10,600.0,660.0,600.0,615.0,615.0,1469,619.0,,,,,,,,,,,,,,,BOSC
1996-04-11,620.0,630.0,600.0,600.0,600.0,726,605.0,,,,,,,,,,,,,,,BOSC
1996-04-12,600.0,630.0,600.0,620.0,620.0,604,609.0,,,,,,,,,,,,,,,BOSC
1996-04-15,600.0,630.0,600.0,605.0,605.0,511,608.0,,,,,,,,,,,,,,,BOSC
1996-04-16,630.0,630.0,600.0,600.0,600.0,430,608.0,618.0,,,,,,,,,,,,,,BOSC
1996-04-17,600.0,640.0,600.0,600.0,600.0,733,605.0,612.0,,,,,,,,,,,,,,BOSC
1996-04-18,600.0,640.0,600.0,620.0,620.0,239,609.0,607.0,,,,,,,,,,,,,,BOSC
1996-04-19,600.0,640.0,600.0,605.0,605.0,574,606.0,607.5,,,,,,,,,,,,,,BOSC
1996-04-22,600.0,640.0,600.0,600.0,600.0,743,605.0,606.5,,,,,,,,,,,,,,BOSC
1996-04-23,600.0,640.0,600.0,605.0,605.0,671,606.0,607.0,,,,,37.2093023255814,,,,,,,,,BOSC
1996-04-24,600.0,640.0,600.0,600.0,600.0,769,606.0,605.5,,,,,36.30017452006982,,,,,,,,,BOSC
1996-04-25,640.0,640.0,600.0,600.0,600.0,806,602.0,605.5,,,,,36.30017452006981,,,,,,,,,BOSC
1996-04-26,600.0,640.0,600.0,600.0,600.0,409,601.0,603.5,,,,,36.30017452006981,,,,,,,0.0,1.1111111111111112,BOSC
1996-04-29,600.0,640.0,600.0,640.0,640.0,208,609.0,607.0,,,,,48.79961742015274,,,,,,,22.222222222222225,7.962962962962965,BOSC
1996-04-30,600.0,640.0,600.0,620.0,620.0,584,612.0,609.0,613.5,,,,44.13622184741987,,,,653.637264480779,613.5,573.362735519221,38.88888888888889,20.37037037037037,BOSC
1996-05-01,600.0,620.0,600.0,620.0,620.0,551,616.0,611.0,611.5,,,,44.13622184741987,,,,645.7198772645373,611.5,577.2801227354627,55.555555555555564,38.88888888888889,BOSC
1996-05-02,600.0,640.0,600.0,600.0,600.0,874,616.0,609.0,608.0,,,,39.732671444721994,,,,629.5406592285381,608.0,586.4593407714619,33.333333333333336,42.5925925925926,BOSC
1996-05-03,600.0,640.0,600.0,600.0,600.0,1826,616.0,608.5,608.0,,,,39.732671444721994,,,,629.5406592285381,608.0,586.4593407714619,16.66666666666667,35.1851851851852,BOSC
1996-05-06,640.0,640.0,600.0,600.0,600.0,190,608.0,608.5,607.5,,,,39.732671444721994,,,,629.2944947177034,607.5,585.7055052822966,4.736951571734001e-15,16.666666666666675,BOSC
1996-05-07,605.0,640.0,600.0,640.0,640.0,483,612.0,612.0,609.5,,,,51.7562317517004,,,,635.1709953059868,609.5,583.8290046940132,33.333333333333336,16.666666666666675,BOSC
