Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2008-03-04,3600.0,3600.0,3600.0,3600.0,3600.0,1,,,,,,,,,,,,,,,,BPTH
2008-03-05,2080.0,2080.0,2080.0,2080.0,2080.0,0,,,,,,,,,,,,,,,,BPTH
2008-03-06,2080.0,2080.0,2080.0,2080.0,2080.0,0,,,,,,,,,,,,,,,,BPTH
2008-03-07,3600.0,3600.0,3600.0,3600.0,3600.0,0,,,,,,,,,,,,,,,,BPTH
2008-03-10,3600.0,3600.0,3600.0,3600.0,3600.0,0,2992.0,,,,,,,,,,,,,,,BPTH
2008-03-11,3600.0,3600.0,3600.0,3600.0,3600.0,0,2992.0,,,,,,,,,,,,,,,BPTH
2008-03-12,3600.0,3600.0,3600.0,3600.0,3600.0,0,3296.0,,,,,,,,,,,,,,,BPTH
2008-03-13,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,,,,,,,,,,,,,,,BPTH
2008-03-14,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,,,,,,,,,,,,,,,BPTH
2008-03-17,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3296.0,,,,,,,,,,,,,,BPTH
2008-03-18,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3296.0,,,,,,,,,,,,,,BPTH
2008-03-19,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3448.0,,,,,,,,,,,,,,BPTH
2008-03-20,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,,,,,,,,,,,,,,BPTH
2008-03-24,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,,,,,,,,,,,,,,BPTH
2008-03-25,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,,,,,50.0,,,,,,,,,BPTH
2008-03-26,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,,,,,50.0,,,,,,,,,BPTH
2008-03-27,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,,,,,50.0,,,,,,,,,BPTH
2008-03-28,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,,,,,50.0,,,,,,,33.333333333333336,66.66666666666667,BPTH
2008-03-31,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,,,,,50.0,,,,,,,0.0,33.33333333333334,BPTH
2008-04-01,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3448.0,,,,50.0,,,,4360.0,3448.0,2536.0,0.0,11.11111111111112,BPTH
2008-04-02,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3448.0,,,,50.0,,,,4360.0,3448.0,2536.0,0.0,7.105427357601002e-15,BPTH
2008-04-03,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3524.0,,,,50.0,,,,4186.5526394181825,3524.0,2861.4473605818175,0.0,7.105427357601002e-15,BPTH
2008-04-04,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-07,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-08,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-09,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-10,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-11,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-14,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-15,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-16,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-17,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-18,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,,,,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-21,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,63.16990034176979,87.64864268771352,-24.47874234594373,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-22,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,58.49064846460169,81.81704384309116,-23.326395378489465,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-23,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,54.15800783759414,76.28523664199176,-22.127228804397618,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-24,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,50.146303553327925,71.057450024259,-20.911146470931072,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-25,3600.0,3600.0,3600.0,3600.0,3600.0,0,3600.0,3600.0,3600.0,,,,50.0,46.43176254937771,66.13231252928274,-19.700549979905034,3600.0,3600.0,3600.0,0.0,7.105427357601002e-15,BPTH
2008-04-28,4040.0,4040.0,4040.0,4040.0,4040.0,0,3688.0,3644.0,3622.0,,,,73.07572948642306,78.09208783062013,68.52426758955022,9.56782024106991,3813.7915535157895,3622.0,3430.2084464842105,33.33333333333333,11.111111111111116,BPTH
