Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2005-11-10,35.5,35.5,31.700000762939453,33.0,33.0,410,,,,,,,,,,,,,,,,BWEN
2005-11-11,32.70000076293945,32.70000076293945,31.0,31.0,31.0,1000,,,,,,,,,,,,,,,,BWEN
2005-11-14,31.0,34.400001525878906,30.0,34.29999923706055,34.29999923706055,1030,,,,,,,,,,,,,,,,BWEN
2005-11-15,35.0,36.79999923706055,35.0,35.0,35.0,540,,,,,,,,,,,,,,,,BWEN
2005-11-16,35.5,38.0,35.0,35.0,35.0,1270,33.65999984741211,,,,,,,,,,,,,,,BWEN
2005-11-17,37.79999923706055,38.0,35.0,35.0,35.0,1000,34.05999984741211,,,,,,,,,,,,,,,BWEN
2005-11-18,38.0,38.400001525878906,34.099998474121094,35.5,35.5,1850,34.95999984741211,,,,,,,,,,,,,,,BWEN
2005-11-21,37.5,37.70000076293945,35.0,35.0,35.0,330,35.1,,,,,,,,,,,,,,,BWEN
2005-11-22,37.0,37.0,31.0,32.5,32.5,1490,34.6,,,,,,,,,,,,,,,BWEN
2005-11-23,32.70000076293945,33.5,32.70000076293945,33.5,33.5,120,34.3,33.97999992370605,,,,,,,,,,,,,,BWEN
2005-11-25,33.5,35.0,33.5,35.0,35.0,250,34.3,34.179999923706056,,,,,,,,,,,,,,BWEN
2005-11-28,35.0,35.0,34.20000076293945,34.20000076293945,34.20000076293945,400,34.04000015258789,34.5,,,,,,,,,,,,,,BWEN
2005-11-29,34.5,34.5,34.5,34.5,34.5,90,33.94000015258789,34.52000007629395,,,,,,,,,,,,,,BWEN
2005-11-30,34.20000076293945,34.5,27.5,34.5,34.5,1800,34.34000015258789,34.47000007629394,,,,,,,,,,,,,,BWEN
2005-12-01,32.0,35.0,32.0,35.0,35.0,670,34.64000015258789,34.47000007629394,,,,,57.35294200144847,,,,,,,,,BWEN
2005-12-02,33.0,33.0,30.0,30.0,30.0,750,33.64000015258789,33.97000007629394,,,,,41.08589879730994,,,,,,,,,BWEN
2005-12-05,30.0,32.5,30.0,32.5,32.5,650,33.3,33.670000076293945,,,,,48.89141242540682,,,,,,,,,BWEN
2005-12-06,32.5,32.5,31.5,31.5,31.5,2150,32.7,33.320000076293944,,,,,46.2517115694093,,,,,,,35.16819079549841,44.342501437802355,BWEN
2005-12-07,32.5,32.5,31.5,31.5,31.5,150,32.1,33.22000007629394,,,,,46.2517115694093,,,,,,,39.75534611665038,40.26503004122282,BWEN
2005-12-08,30.5,31.5,30.0,30.0,30.0,1670,31.1,32.87000007629395,33.425,,,,42.280501297820145,,,,36.932634526213185,33.425,29.917365473786813,32.11008724806377,35.677874720070854,BWEN
2005-12-09,31.0,31.5,30.0,30.0,30.0,1940,31.1,32.37000007629395,33.275,,,,42.280501297820145,,,,37.08597100087144,33.275,29.46402899912856,28.047607087753452,33.3043468174892,BWEN
2005-12-12,30.0,30.0,30.0,30.0,30.0,0,30.6,31.95,33.225,,,,42.280501297820145,,,,37.17765733013659,33.225,29.272342669863413,24.58712272257627,28.248272352797827,BWEN
2005-12-13,30.5,30.5,30.0,30.0,30.0,150,30.3,31.5,33.01000003814697,,,,42.28050129782015,,,,37.16783605741949,33.01000003814697,28.852164018874447,28.05297496510077,26.89590159181016,BWEN
2005-12-14,30.0,30.0,30.0,30.0,30.0,60,30.0,31.05,32.76000003814697,,,,42.28050129782016,,,,37.00942358016467,32.76000003814697,28.510576496129268,30.994152046783615,27.878083244820214,BWEN
2005-12-15,30.0,30.0,29.399999618530273,29.399999618530273,29.399999618530273,250,29.879999923706055,30.489999961853027,32.480000019073486,,,,40.27679675758461,,,,36.83871554028762,32.480000019073486,28.12128449785935,30.666664971245652,29.904597327710007,BWEN
2005-12-16,29.399999618530273,30.0,29.399999618530273,30.0,30.0,240,29.879999923706055,30.489999961853027,32.230000019073486,,,,43.17683457257369,,,,36.55532093584024,32.230000019073486,27.904679102306734,30.666664971245652,30.7758273297583,BWEN
2005-12-19,30.0,30.0,30.0,30.0,30.0,0,29.879999923706055,30.239999961853027,31.955000019073488,,,,43.17683457257369,,,,36.109744424567204,31.955000019073488,27.800255613579772,30.666664971245652,30.66666497124565,BWEN
2005-12-20,30.0,30.0,30.0,30.0,30.0,0,29.879999923706055,30.089999961853028,31.705000019073488,,,,43.17683457257368,,,,35.69522571608971,31.705000019073488,27.71477432205727,25.793652821019517,29.042327587836937,BWEN
2005-12-21,30.0,30.0,30.0,30.0,30.0,0,29.879999923706055,29.939999961853026,31.580000019073488,,,,43.17683457257368,,,,35.61910897182556,31.580000019073488,27.540891066321414,20.238100208902896,25.566139333722685,BWEN
2005-12-22,30.0,30.0,30.0,30.0,30.0,0,30.0,29.939999961853026,31.405000019073487,,,,43.17683457257369,,,,35.39923350735443,31.405000019073487,27.410766530792543,15.578605308940586,20.536786112954328,BWEN
2005-12-23,29.700000762939453,30.0,29.5,29.5,29.5,10900,29.9,29.88999996185303,31.130000019073485,,,,40.786186941530424,,,,34.84381223846033,31.130000019073485,27.41618779968664,13.082447496855176,16.299717671566217,BWEN
2005-12-27,29.5,30.0,29.5,30.0,30.0,390,29.9,29.88999996185303,30.919999980926512,,,,44.11829516819413,,,,34.382138082148664,30.919999980926512,27.457861879704364,13.978505209009484,14.213186004935077,BWEN
2005-12-28,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,50,29.84000015258789,29.86000003814697,30.680000019073486,,,,42.570410020932975,,,,33.76064928444604,30.680000019073486,27.599350753700936,12.288811059976661,13.1165879219471,BWEN
2005-12-29,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,29.700000762939453,0,29.780000305175783,29.830000114440917,30.44000005722046,,,,42.57041002093298,-1.253747750987987,-1.5140579931657823,0.2603102421777952,32.99609076512413,30.44000005722046,27.883909349316788,15.975460335380744,14.080925534788959,BWEN
2005-12-30,29.5,29.5,28.0,28.0,28.0,410,29.38000030517578,29.690000152587892,30.090000057220458,,,,34.59382605519529,-1.3272011986468364,-1.476686634261993,0.1494854356151567,31.843738882487596,30.090000057220458,28.33626123195332,9.523844124231944,12.596038506529778,BWEN
2006-01-03,29.0,29.0,29.0,29.0,29.0,50,29.280000305175783,29.59000015258789,30.04000005722046,,,,41.53368148408556,-1.2898533163436952,-1.4393199706783335,0.14946665433463835,31.857030571586265,30.04000005722046,28.222969542854656,18.0952553954493,14.531519951687324,BWEN
2006-01-04,28.0,28.5,28.0,28.5,28.5,70,28.980000305175782,29.440000152587892,29.840000057220458,,,,39.288987205076296,-1.2857790117888825,-1.4086117789004433,0.12283276711156077,31.390999728945005,29.840000057220458,28.28900038549591,21.666666666666657,16.42858872878263,BWEN
2006-01-05,28.5,28.5,28.5,28.5,28.5,0,28.74000015258789,29.29000015258789,29.69000005722046,,,,39.2889872050763,-1.2679341405645843,-1.3804762512332716,0.11254211066868725,31.147257773053205,29.69000005722046,28.232742341387713,29.99999999999999,23.25397402070531,BWEN
2006-01-06,28.5,30.5,28.5,30.5,30.5,400,28.9,29.34000015258789,29.64000005722046,,,,51.45908545237332,-1.0799595646416762,-1.3203729139149525,0.2404133492732763,30.900793487264714,29.64000005722046,28.379206627176202,49.99999999999999,33.88888888888888,BWEN
2006-01-09,30.5,32.0,30.0,31.5,31.5,16280,29.6,29.49000015258789,29.715000057220458,,,,56.18812684776747,-0.8406067252189828,-1.2244196761757586,0.3838129509567758,31.209356118843782,29.715000057220458,28.220643995597133,70.83333333333333,50.27777777777777,BWEN
2006-01-10,31.0,32.5,31.0,32.5,32.5,1150,30.3,29.79000015258789,29.840000057220458,,,,60.34830216059861,-0.5637279282328933,-1.0922813265871856,0.5285533983542923,31.764993558947108,29.840000057220458,27.915006555493807,95.83333333333333,72.22222222222221,BWEN
2006-01-11,31.5,32.20000076293945,31.5,31.5,31.5,1750,30.9,29.940000152587892,29.91500005722046,,,,54.74962245169323,-0.42014792571407256,-0.957854646412563,0.5377067206984905,31.971477615414834,29.91500005722046,27.858522499026087,88.42592592592592,85.03086419753086,BWEN
2006-01-12,32.0,32.0,30.5,31.0,31.0,930,31.4,30.070000076293944,29.965000057220458,,,,52.1447535342202,-0.3427545000857748,-0.8348346171472054,0.4920801170614306,32.075236992844,29.965000057220458,27.854763121596918,81.48148148148148,88.58024691358024,BWEN
2006-01-13,31.0,32.5,30.0,31.0,31.0,1400,31.5,30.2,30.01500005722046,,,,52.1447535342202,-0.27821259111675545,-0.7235102119411154,0.44529762082436,32.173031544845514,30.01500005722046,27.856968569595402,70.37037037037038,80.0925925925926,BWEN
2006-01-17,32.5,32.5,30.5,31.0,31.0,2030,31.4,30.5,30.095000076293946,,,,52.1447535342202,-0.22447505456135275,-0.6237031804651629,0.3992281259038102,32.274426551059946,30.095000076293946,27.91557360152795,66.66666666666669,72.8395061728395,BWEN
2006-01-18,31.0,33.0,31.0,31.0,31.0,950,31.1,30.7,30.145000076293947,,,,52.1447535342202,-0.1798148757266489,-0.5349255195174601,0.35511064379081125,32.359023501733205,30.145000076293947,27.930976650854685,64.44444444444446,67.16049382716051,BWEN
2006-01-19,31.5,31.5,30.5,30.5,30.5,770,30.9,30.9,30.170000076293945,,,,49.00847471809538,-0.18266157463704857,-0.46447273054137783,0.28181115590432926,32.388197478044944,30.170000076293945,27.951802674542947,58.88888888888889,63.33333333333334,BWEN
2006-01-20,31.0,31.0,30.5,30.899999618530273,30.899999618530273,450,30.879999923706055,31.13999996185303,30.215000057220458,,,,51.520568343864795,-0.1509014794318162,-0.4017584803194655,0.2508570008876493,32.453995274086026,30.215000057220458,27.97600484035489,55.99999745686849,59.77777693006728,BWEN
2006-01-23,31.0,31.0,31.0,31.0,31.0,100,30.879999923706055,31.189999961853026,30.26500005722046,,,,52.155167687055325,-0.11632130057050816,-0.344671044369674,0.22834974379916584,32.527100753091084,30.26500005722046,28.002899361349833,55.99999745686849,56.962961267541964,BWEN
2006-01-24,29.5,30.600000381469727,29.5,30.0,30.0,650,30.679999923706056,31.039999961853027,30.26500005722046,31.46400001525879,,,45.71127290822262,-0.1676750487495937,-0.30927184524565793,0.14159679649606421,32.527100753091084,30.26500005722046,28.002899361349833,52.666664123535156,54.888886345757385,BWEN
2006-01-25,30.0,32.400001525878906,30.0,31.799999237060547,31.799999237060547,7230,30.839999771118165,30.969999885559083,30.380000019073485,31.44,,,56.201157923362274,-0.0624089573437665,-0.25989926766527965,0.19749031032151315,32.707745510373236,30.380000019073485,28.052254527773737,57.77777212637442,55.481477902259364,BWEN
2006-01-26,31.5,31.5,21.5,31.0,31.0,9540,30.939999771118163,30.919999885559083,30.430000019073486,31.44,,,51.443496996399695,-0.04304191367344501,-0.21652779686691273,0.17348588319346772,32.76589365206206,30.430000019073486,28.09410638608491,65.31400401043238,58.586146753447316,BWEN
2006-01-27,30.5,31.0,30.5,31.0,31.0,110,30.95999984741211,30.919999885559083,30.494999980926515,31.37400001525879,,,51.44349699639969,-0.0273777978215044,-0.17869779705783106,0.15131999923632666,32.81833794543631,30.494999980926515,28.17166201641672,79.51690256115702,67.53622623265461,BWEN
2006-01-30,30.0,30.0,30.0,30.0,30.0,100,30.75999984741211,30.81999988555908,30.50999994277954,31.27400001525879,,,45.820269466965385,-0.09456542445805383,-0.16187132253787562,0.06730589807982179,32.816425650842675,30.50999994277954,28.20357423471641,79.71014492753623,74.84701716637521,BWEN
2006-01-31,30.0,30.0,30.0,30.0,30.0,100,30.75999984741211,30.719999885559083,30.60999994277954,31.174000015258787,,,45.82026946696539,-0.14612763422221065,-0.1587225848747426,0.012594950652531967,32.62782044832265,30.60999994277954,28.59217943723643,76.81159420289855,78.6795472305306,BWEN
2006-02-01,30.0,30.0,30.0,30.0,30.0,0,30.4,30.619999885559082,30.659999942779542,31.07400001525879,,,45.82026946696539,-0.18486010473005976,-0.16395008884580603,-0.02091001588425373,32.561998790170996,30.659999942779542,28.75800109538809,73.91304347826086,76.81159420289855,BWEN
2006-02-02,29.5,29.5,29.5,29.5,29.5,120,30.1,30.51999988555908,30.70999994277954,30.95400001525879,,,42.892350367603186,-0.2529854294330178,-0.1817571569632484,-0.07122827246976943,32.425692117491316,30.70999994277954,28.99430776806776,72.46376811594202,74.39613526570047,BWEN
