Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1996-12-12,1.8125,1.8125,1.6875,1.703125,1.002034068107605,1984400,,,,,,,,,,,,,,,,CALM
1996-12-13,1.71875,1.8125,1.65625,1.78125,1.047999382019043,996800,,,,,,,,,,,,,,,,CALM
1996-12-16,1.8125,1.8125,1.71875,1.71875,1.0112272500991821,122000,,,,,,,,,,,,,,,,CALM
1996-12-17,1.75,1.8125,1.75,1.7734379768371582,1.043402910232544,239200,,,,,,,,,,,,,,,,CALM
1996-12-18,1.8125,1.8125,1.75,1.8125,1.0663858652114868,216400,1.7578125953674317,,,,,,,,,,,,,,,CALM
1996-12-19,1.8125,1.8125,1.6875,1.75,1.0296131372451782,112000,1.7671875953674316,,,,,,,,,,,,,,,CALM
1996-12-20,1.75,1.78125,1.6875,1.734375,1.020420789718628,138800,1.7578125953674317,,,,,,,,,,,,,,,CALM
1996-12-23,1.78125,1.8125,1.6875,1.75,1.0296131372451782,347600,1.7640625953674316,,,,,,,,,,,,,,,CALM
1996-12-24,1.6875,1.78125,1.6875,1.71875,1.0112272500991821,208400,1.753125,,,,,,,,,,,,,,,CALM
1996-12-26,1.75,1.8125,1.75,1.78125,1.047999382019043,644000,1.746875,1.7523437976837157,,,,,,,,,,,,,,CALM
1996-12-27,1.8125,1.8125,1.765625,1.78125,1.047999382019043,219600,1.753125,1.7601562976837157,,,,,,,,,,,,,,CALM
1996-12-30,1.8125,1.875,1.78125,1.875,1.1031572818756104,646800,1.78125,1.7695312976837159,,,,,,,,,,,,,,CALM
1996-12-31,1.90625,2.09375,1.84375,2.0,1.1767010688781738,453600,1.83125,1.7976562976837158,,,,,,,,,,,,,,CALM
1997-01-02,2.0,2.09375,2.0,2.03125,1.1950865983963013,339200,1.89375,1.8234375,,,,,,,,,,,,,,CALM
1997-01-03,2.03125,2.15625,2.03125,2.15625,1.2686307430267334,560800,1.96875,1.8578125,,,,,78.43137254901961,,,,,,,,,CALM
1997-01-06,2.1875,2.34375,2.125,2.21875,1.305402398109436,964000,2.05625,1.9046875,,,,,80.11126564673158,,,,,,,,,CALM
1997-01-07,2.1875,2.21875,2.109375,2.125,1.2502449750900269,158000,2.10625,1.94375,,,,,71.15841490069373,,,,,,,,,CALM
1997-01-08,2.15625,2.15625,2.03125,2.03125,1.1950865983963013,182800,2.1125,1.971875,,,,,63.514351148026606,,,,,,,66.66666666666667,79.36507936507938,CALM
1997-01-09,2.03125,2.15625,2.03125,2.09375,1.231858730316162,220800,2.125,2.009375,,,,,66.12679938287569,,,,,,,60.31746031746033,69.84126984126985,CALM
