Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1986-05-15,0.0,900.0,877.5,877.5,877.5,1502,,,,,,,,,,,,,,,,CLDX
1986-05-16,0.0,765.0,742.5,742.5,742.5,778,,,,,,,,,,,,,,,,CLDX
1986-05-19,0.0,765.0,720.0,720.0,720.0,525,,,,,,,,,,,,,,,,CLDX
1986-05-20,0.0,832.5,810.0,810.0,810.0,596,,,,,,,,,,,,,,,,CLDX
1986-05-21,0.0,810.0,787.5,787.5,787.5,612,787.5,,,,,,,,,,,,,,,CLDX
1986-05-22,0.0,855.0,810.0,810.0,810.0,402,774.0,,,,,,,,,,,,,,,CLDX
1986-05-23,0.0,832.5,787.5,787.5,787.5,282,783.0,,,,,,,,,,,,,,,CLDX
1986-05-27,0.0,855.0,810.0,810.0,810.0,51,801.0,,,,,,,,,,,,,,,CLDX
1986-05-28,0.0,900.0,855.0,855.0,855.0,359,810.0,,,,,,,,,,,,,,,CLDX
1986-05-29,0.0,855.0,832.5,832.5,832.5,215,819.0,803.25,,,,,,,,,,,,,,CLDX
1986-05-30,0.0,832.5,810.0,810.0,810.0,100,819.0,796.5,,,,,,,,,,,,,,CLDX
1986-06-02,0.0,810.0,787.5,787.5,787.5,64,819.0,801.0,,,,,,,,,,,,,,CLDX
1986-06-03,0.0,787.5,742.5,742.5,742.5,57,805.5,803.25,,,,,,,,,,,,,,CLDX
1986-06-04,0.0,810.0,765.0,765.0,765.0,181,787.5,798.75,,,,,,,,,,,,,,CLDX
1986-06-05,0.0,877.5,855.0,855.0,855.0,697,792.0,805.5,,,,,48.14814814814815,,,,,,,,,CLDX
1986-06-06,0.0,945.0,922.5,922.5,922.5,664,814.5,816.75,,,,,53.68956743002544,,,,,,,,,CLDX
1986-06-09,0.0,877.5,855.0,855.0,855.0,390,828.0,823.5,,,,,48.14814814814815,,,,,,,,,CLDX
1986-06-10,0.0,900.0,855.0,855.0,855.0,74,850.5,828.0,,,,,48.148148148148145,,,,,,,67.03703703703702,67.96296296296295,CLDX
1986-06-11,0.0,900.0,877.5,877.5,877.5,274,873.0,830.25,,,,,50.13768354059942,,,,,,,59.25925925925926,66.60493827160492,CLDX
1986-06-12,0.0,877.5,855.0,855.0,855.0,92,873.0,832.5,817.875,,,,48.14814814814815,,,,919.7729268680183,817.875,715.9770731319817,59.25925925925926,61.85185185185184,CLDX
1986-06-13,0.0,877.5,855.0,855.0,855.0,116,859.5,837.0,816.75,,,,48.14814814814815,,,,916.4633391277215,816.75,717.0366608722785,59.25925925925926,59.259259259259245,CLDX
1986-06-16,0.0,900.0,855.0,855.0,855.0,102,859.5,843.75,822.375,,,,48.148148148148145,,,,917.2759351903342,822.375,727.4740648096658,55.55555555555555,58.024691358024675,CLDX
1986-06-17,0.0,832.5,787.5,787.5,787.5,156,846.0,848.25,825.75,,,,41.91594038025365,,,,910.0574729783784,825.75,741.4425270216216,44.444444444444436,53.086419753086396,CLDX
1986-06-18,0.0,832.5,787.5,787.5,787.5,29,828.0,850.5,824.625,,,,41.915940380253645,,,,910.3319862963341,824.625,738.9180137036659,33.33333333333332,44.44444444444441,CLDX
1986-06-19,0.0,832.5,810.0,810.0,810.0,47,819.0,846.0,825.75,,,,44.68391365762602,,,,910.0574729783784,825.75,741.4425270216216,25.925925925925913,34.56790123456786,CLDX
1986-06-20,0.0,855.0,810.0,810.0,810.0,122,810.0,834.75,825.75,,,,44.68391365762603,,,,910.0574729783784,825.75,741.4425270216216,29.62962962962962,29.62962962962959,CLDX
1986-06-23,0.0,855.0,810.0,810.0,810.0,65,801.0,830.25,826.875,,,,44.683913657626036,,,,909.6982304368769,826.875,744.0517695631231,30.555555555555543,28.703703703703667,CLDX
1986-06-24,0.0,810.0,787.5,787.5,787.5,138,801.0,823.5,825.75,,,,42.17375456948677,,,,910.0574729783784,825.75,741.4425270216216,19.444444444444432,26.543209876543173,CLDX
1986-06-25,0.0,810.0,787.5,787.5,787.5,86,801.0,814.5,822.375,,,,42.173754569486775,,,,907.1316369082681,822.375,737.6183630917319,8.33333333333332,19.444444444444407,CLDX
1986-06-26,0.0,810.0,787.5,787.5,787.5,102,796.5,807.75,820.125,,,,42.17375456948677,,,,906.0679316465292,820.125,734.1820683534708,-1.4210854715202004e-14,9.259259259259222,CLDX
1986-06-27,0.0,787.5,742.5,742.5,742.5,167,783.0,796.5,816.75,,,,36.98398795676819,,,,909.0822803790744,816.75,724.4177196209256,-1.4210854715202004e-14,2.7777777777777395,CLDX
1986-06-30,0.0,787.5,742.5,742.5,742.5,214,769.5,785.25,814.5,,,,36.98398795676819,,,,911.641649152153,814.5,717.358350847847,-1.4210854715202004e-14,-3.848773152033876e-14,CLDX
1986-07-01,0.0,787.5,742.5,742.5,742.5,120,760.5,780.75,814.5,,,,36.98398795676819,,,,911.641649152153,814.5,717.358350847847,-1.4210854715202004e-14,-3.848773152033876e-14,CLDX
1986-07-02,0.0,787.5,765.0,765.0,765.0,428,756.0,778.5,814.5,,,,41.48102366795964,-9.69340402768512,6.622260325108085,-16.315664352793206,911.641649152153,814.5,717.358350847847,4.761904761904748,1.5873015873015488,CLDX
1986-07-03,0.0,877.5,832.5,832.5,832.5,284,765.0,780.75,813.375,,,,52.44519398862211,-5.177106559527715,4.262386948180925,-9.43949350770864,909.1256527392894,813.375,717.6243472607106,23.809523809523796,9.523809523809485,CLDX
1986-07-07,0.0,832.5,810.0,810.0,810.0,157,778.5,780.75,807.75,,,,49.1401377689471,-3.3745702917744893,2.734995500189842,-6.109565791964331,889.3726071624767,807.75,726.1273928375233,40.47619047619046,23.015873015872973,CLDX
1986-07-08,0.0,832.5,787.5,787.5,787.5,98,787.5,778.5,804.375,,,,46.01710102355981,-3.718741930523038,1.444248014047266,-5.162989944570304,883.4457752586251,804.375,725.3042247413749,46.82539682539681,37.037037037036995,CLDX
1986-07-09,0.0,855.0,810.0,810.0,810.0,198,801.0,780.75,802.125,,,,49.475144788602115,-2.1511414545508387,0.725170120327645,-2.8763115748784838,877.793272743601,802.125,726.456727256399,44.44444444444443,43.915343915343875,CLDX
1986-07-10,0.0,855.0,810.0,810.0,810.0,49,810.0,783.0,798.75,,,,49.475144788602115,-0.8984500109310147,0.4004460940759131,-1.2988961050069279,866.25,798.75,731.25,44.44444444444443,45.238095238095205,CLDX
1986-07-11,0.0,832.5,787.5,787.5,787.5,176,801.0,783.0,795.375,,,,46.053709971320856,-1.7016296489961178,-0.01996905453849307,-1.6816605944576248,857.8504951961168,795.375,732.8995048038832,44.44444444444443,44.44444444444441,CLDX
1986-07-14,0.0,787.5,765.0,765.0,765.0,57,792.0,785.25,790.875,,,,42.86162452875513,-4.106381449200967,-0.8372515334709878,-3.2691299157299794,848.2830786997788,790.875,733.4669213002212,33.333333333333314,40.740740740740705,CLDX
1986-07-15,0.0,787.5,742.5,742.5,742.5,48,783.0,785.25,785.25,,,,39.88448902538257,-7.7385216750116115,-2.2175055617791126,-5.521016113232498,838.3042175514822,785.25,732.1957824485178,16.666666666666647,31.481481481481442,CLDX
