Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2000-08-04,28.0,30.125,21.0,22.5,22.5,8025300,,,,,,,,,,,,,,,,CRNT
2000-08-07,21.625,24.75,21.0625,22.6875,22.6875,2131700,,,,,,,,,,,,,,,,CRNT
2000-08-08,22.625,22.8125,21.125,21.9375,21.9375,873900,,,,,,,,,,,,,,,,CRNT
2000-08-09,21.75,22.0,19.0,20.4375,20.4375,933600,,,,,,,,,,,,,,,,CRNT
2000-08-10,20.0,20.375,17.5,18.0,18.0,882200,21.1125,,,,,,,,,,,,,,,CRNT
2000-08-11,18.0,18.125,17.0,17.125,17.125,960200,20.0375,,,,,,,,,,,,,,,CRNT
2000-08-14,17.625,18.0,16.75,17.25,17.25,687600,18.95,,,,,,,,,,,,,,,CRNT
2000-08-15,17.25,17.4375,17.0,17.125,17.125,224500,17.9875,,,,,,,,,,,,,,,CRNT
2000-08-16,17.25,17.375,16.875,17.0625,17.0625,310000,17.3125,,,,,,,,,,,,,,,CRNT
2000-08-17,17.0,18.875,17.0,18.375,18.375,558300,17.3875,19.25,,,,,,,,,,,,,,CRNT
2000-08-18,19.125,19.625,17.25,17.625,17.625,481300,17.4875,18.7625,,,,,,,,,,,,,,CRNT
2000-08-21,18.875,20.0,17.875,19.375,19.375,331200,17.9125,18.43125,,,,,,,,,,,,,,CRNT
2000-08-22,20.75,22.4375,20.625,22.125,22.125,561000,18.9125,18.45,,,,,,,,,,,,,,CRNT
2000-08-23,21.625,26.1875,21.5,25.875,25.875,854600,20.675,18.99375,,,,,,,,,,,,,,CRNT
2000-08-24,25.9375,26.125,23.0,24.375,24.375,369400,21.875,19.63125,,,,,55.24475524475524,,,,,,,,,CRNT
2000-08-25,26.0,27.25,25.0,26.5625,26.5625,495300,23.6625,20.575,,,,,60.45627376425856,,,,,,,,,CRNT
2000-08-28,26.9375,28.6875,26.25,28.671875,28.671875,466200,25.521875,21.7171875,,,,,64.72219051191311,,,,,,,,,CRNT
2000-08-29,29.625,31.25,29.0,30.0,30.0,1153700,27.096875,23.0046875,,,,,67.12681058194627,,,,,,,94.90026708161751,89.03204179290988,CRNT
2000-08-30,30.0625,30.1875,26.5,28.25,28.25,349500,27.571875,24.1234375,,,,,61.20672755308881,,,,,,,90.18625504001926,92.1528621390767,CRNT
2000-08-31,28.3125,29.5,26.0625,29.171875,29.171875,317700,28.53125,25.203125,22.2265625,,,,63.05516269072684,,,,31.08417365598472,22.2265625,13.368951344015278,85.45258620689656,90.17970277617779,CRNT
2000-09-01,29.25,30.0,27.0625,27.1875,27.1875,255600,28.65625,26.159375,22.4609375,,,,56.783192340655944,,,,31.5793131991377,22.4609375,13.342561800862297,78.90585957021489,84.84823360571023,CRNT
2000-09-05,27.75,27.75,24.5625,24.5625,24.5625,301800,27.834375,26.678125,22.5546875,,,,49.73559748651772,,,,31.718893194746546,22.5546875,13.390481805253454,70.29516491754121,78.21787023155089,CRNT
2000-09-06,25.375,25.9375,25.3125,25.625,25.625,264400,26.959375,27.028125,22.7390625,,,,52.31538377977234,,,,31.99410810445951,22.7390625,13.484016895540488,61.91456903127383,70.37186450634331,CRNT
2000-09-07,25.5,31.5625,25.5,31.375,31.375,784400,27.584375,27.578125,23.2859375,,,,63.29470545286501,,,,33.201381281829704,23.2859375,13.370493718170296,70.89817766363886,67.7026372041513,CRNT
2000-09-08,31.0,32.9375,30.0,32.0,32.0,364900,28.15,28.340625,23.9859375,,,,64.25802985444108,,,,34.27937110548973,23.9859375,13.692503894510264,84.33073524376995,72.38116064622754,CRNT
2000-09-11,31.5,32.0,26.0,26.0625,26.0625,430000,27.925,28.290625,24.4328125,,,,50.65651093002186,,,,34.261541614978455,24.4328125,14.604083385021546,78.87610883001985,78.03500724580954,CRNT
2000-09-12,26.0625,26.5,23.0,24.0,24.0,362300,27.8125,27.8234375,24.7703125,,,,46.93966144166933,,,,34.03676798554706,24.7703125,15.503857014452937,53.26543121848318,72.15742509742431,CRNT
2000-09-13,24.0625,25.25,23.5,24.5,24.5,248400,27.5875,27.2734375,25.1390625,,,,47.93697073414587,,,,33.72088888723393,25.1390625,16.55723611276607,27.038233222710854,53.05992442373795,CRNT
2000-09-14,25.0625,27.375,24.0,24.25,24.25,217600,26.1625,26.8734375,25.4984375,,,,47.456671590864765,,,,33.26007757414829,25.4984375,17.736797425851712,16.510293157370153,32.27131919952138,CRNT
2000-09-15,24.25,25.25,23.0,24.75,24.75,73600,24.7125,26.43125,25.8171875,,,,48.5666154393136,,,,32.87409969767009,25.8171875,18.760275302329905,15.09433962264149,19.547622000907484,CRNT
2000-09-18,25.125,25.25,24.0,24.5,24.5,201200,24.4,26.1625,26.1609375,,,,48.02040010229617,,,,32.181897796383396,26.1609375,20.139977203616603,15.09433962264149,15.566324134217696,CRNT
2000-09-19,24.0625,24.375,22.875,23.125,23.125,174200,24.225,26.01875,26.3484375,,,,45.021296802580785,,,,31.709867499601323,26.3484375,20.987007500398676,11.729624855137551,13.972768033473494,CRNT
2000-09-20,23.0625,24.375,21.8125,22.9375,22.9375,238500,23.9125,25.75,26.3890625,,,,44.61212862165359,,,,31.632891648687483,26.3890625,21.14523335131252,9.230390407630898,12.018118295136631,CRNT
2000-09-21,22.125,23.25,21.0,21.0,21.0,188600,23.2625,24.7125,26.1453125,,,,40.514612551737834,0.9658166073238661,2.504357610173333,-1.5385410028494668,31.891235817067958,26.1453125,20.39938918293204,4.198943866750395,8.386319709839599,CRNT
2000-09-22,20.125,24.75,19.75,24.25,24.25,392100,23.1625,23.9375,26.1390625,,,,48.97979382125337,0.8776549166385514,2.179017071466377,-1.3013621548278254,31.892941117126448,26.1390625,20.385183882873555,14.745194099792302,9.391509458057849,CRNT
2000-09-25,24.6875,26.4375,24.25,26.25,26.25,131200,23.5125,23.95625,26.1234375,,,,53.37682116860994,0.9581247610687029,1.934838609386842,-0.976713848318139,31.874328225846284,26.1234375,20.37254677415372,27.80410742496049,15.582748463834378,CRNT
2000-09-26,25.8125,26.5,25.5,25.875,25.875,82200,24.0625,24.14375,25.98359375,,,,52.463837586717986,0.9803376048693231,1.7439384084833383,-0.7636008036140152,31.614575595377282,25.98359375,20.35261190462272,43.2859399684044,28.611747164385708,CRNT
2000-09-27,25.6875,26.125,24.5,24.5,24.5,478900,24.375,24.14375,25.70859375,,,,49.14457250575403,0.8768822818655977,1.5705271831597902,-0.6936449012941925,31.058300545046738,25.70859375,20.35888695495326,43.91785150078987,38.33596629805157,CRNT
2000-09-28,24.375,26.875,22.875,26.5,26.5,109100,25.475,24.36875,25.62109375,,,,53.73012999409488,0.9453787406875733,1.445497494665347,-0.5001187539777736,30.857719898386854,25.62109375,20.384467601613146,45.85549859754326,44.35309668891248,CRNT
2000-09-29,25.125,27.0,24.875,26.875,26.875,72300,26.0,24.58125,25.50625,,,,54.55750604676995,1.018185040440546,1.3600350038203868,-0.34184996337984086,30.52245810473407,25.50625,20.490041895265932,61.52120703770589,50.43151904534631,CRNT
2000-10-02,27.125,27.125,24.3125,24.75,24.75,129200,25.7,24.60625,25.384375,,,,49.18976267250667,0.8941080953417,1.2668496221246495,-0.3727415267829495,30.349452258965876,25.384375,20.41929774103412,71.37281141964979,59.58317235163295,CRNT
2000-10-03,25.25,26.0,23.25,23.5,23.5,239600,25.225,24.64375,25.33125,,,,46.303806748919236,0.6869924478102192,1.1508781872617635,-0.4638857394515443,30.352781763316845,25.33125,20.309718236683157,69.3989071038251,67.43097518706024,CRNT
2000-10-04,23.5,24.25,23.0,23.5,23.5,52400,25.025,24.7,25.225,,,,46.30380674891923,0.516893379826179,1.0240812257746466,-0.5071878459484676,30.306738137684768,25.225,20.143261862315235,55.20051866259143,65.32407906202208,CRNT
2000-10-05,23.125,23.5,22.5,22.75,22.75,19600,24.275,24.875,24.79375,,,,44.4875627294947,0.31790529659280153,0.8828460399382776,-0.5649407433454761,29.122812398487696,24.79375,20.464687601512303,46.90191719922198,57.167114321879474,CRNT
2000-10-06,22.625,22.625,20.625,21.0,21.0,115100,23.1,24.55,24.24375,,,,40.49609923954452,0.01877896019522396,0.7100326239896668,-0.6912536637944429,27.40970660898887,24.24375,21.077793391011127,36.15819209039545,46.08687598406959,CRNT
2000-10-09,20.6875,20.75,19.375,19.75,19.75,56000,22.1,23.9,23.928125,,,,37.88165637275472,-0.3155083855315972,0.504924422085414,-0.8204328076170112,27.5339525315799,23.928125,20.322297468420103,20.821942773829026,34.62735068781546,CRNT
2000-10-10,19.75,21.75,19.125,19.5,19.5,63000,21.3,23.2625,23.703125,,,,37.36212448860814,-0.5937619084169228,0.2851871559849466,-0.8789490644018694,27.792148989597017,23.703125,19.614101010402983,8.825120739930718,21.935085201385036,CRNT
2000-10-11,19.015625,20.0625,17.0,17.0,17.0,84500,20.0,22.5125,23.328125,,,,32.55403294761907,-1.0044304872197642,0.027263627344004393,-1.0316941145637686,28.329823930113637,23.328125,18.326426069886363,3.1754032258064235,10.940822246522027,CRNT
2000-10-12,17.5,18.25,17.0,18.0,18.0,129400,19.05,21.6625,23.015625,,,,36.096536050200015,-1.2349607926952721,-0.22518125666385091,-1.0097795360314212,28.505085782945798,23.015625,17.526164217054202,4.854681069958819,5.6184016785652915,CRNT
2000-10-13,18.0,18.875,18.0,18.5,18.5,124900,18.55,20.825,22.703125,23.258125,,,37.85414048566862,-1.3616160372393828,-0.4524682127789573,-0.9091478244604255,28.466814546419023,22.703125,16.939435453580977,8.23045267489709,5.420178990220749,CRNT
2000-10-16,19.3125,20.0625,19.25,19.3125,19.3125,43200,18.4625,20.28125,22.44375,23.194375,,,40.70798932859089,-1.380515547497712,-0.6380776797227082,-0.7424378677750038,28.326311623136625,22.44375,16.561188376863377,15.843621399176925,9.64291838134425,CRNT
