Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1989-06-09,0.0,6.3125,5.75,6.1875,6.1875,8359600,,,,,,,,,,,,,,,,CRUS
1989-06-12,0.0,6.3125,6.0,6.0,6.0,1114400,,,,,,,,,,,,,,,,CRUS
1989-06-13,0.0,6.0625,5.75,5.8125,5.8125,558800,,,,,,,,,,,,,,,,CRUS
1989-06-14,0.0,6.0,5.5,5.6875,5.6875,1048000,,,,,,,,,,,,,,,,CRUS
1989-06-15,0.0,5.75,5.6875,5.75,5.75,499400,5.8875,,,,,,,,,,,,,,,CRUS
1989-06-16,0.0,5.75,5.6875,5.6875,5.6875,140200,5.7875,,,,,,,,,,,,,,,CRUS
1989-06-19,0.0,5.75,5.5625,5.625,5.625,393200,5.7125,,,,,,,,,,,,,,,CRUS
1989-06-20,0.0,5.6875,5.375,5.375,5.375,328000,5.625,,,,,,,,,,,,,,,CRUS
1989-06-21,0.0,5.4375,5.3125,5.3125,5.3125,284800,5.55,,,,,,,,,,,,,,,CRUS
1989-06-22,0.0,5.75,5.3125,5.625,5.625,564000,5.525,5.70625,,,,,,,,,,,,,,CRUS
1989-06-23,0.0,5.8125,5.625,5.8125,5.8125,419400,5.55,5.66875,,,,,,,,,,,,,,CRUS
1989-06-26,0.0,5.75,5.5625,5.5625,5.5625,38200,5.5375,5.625,,,,,,,,,,,,,,CRUS
1989-06-27,0.0,5.6875,5.625,5.625,5.625,74600,5.5875,5.60625,,,,,,,,,,,,,,CRUS
1989-06-28,0.0,5.625,5.375,5.4375,5.4375,247200,5.6125,5.58125,,,,,,,,,,,,,,CRUS
1989-06-29,0.0,5.4375,5.25,5.3125,5.3125,277000,5.55,5.5375,,,,,29.411764705882355,,,,,,,,,CRUS
1989-06-30,0.0,5.3125,5.25,5.3125,5.3125,150800,5.45,5.5,,,,,29.411764705882355,,,,,,,,,CRUS
1989-07-03,0.0,5.3125,5.25,5.3125,5.3125,35000,5.4,5.46875,,,,,29.411764705882355,,,,,,,,,CRUS
1989-07-05,0.0,5.5625,5.375,5.5,5.5,145200,5.375,5.48125,,,,,36.41866634511034,,,,,,,20.156695156695157,12.050304452265237,CRUS
1989-07-06,0.0,5.5625,5.4375,5.4375,5.4375,82600,5.375,5.49375,,,,,35.1655969605179,,,,,,,28.703703703703706,18.721021172001567,CRUS
1989-07-07,0.0,5.625,5.4375,5.5,5.5,134600,5.4125,5.48125,5.59375,,,,37.482137402389334,,,,6.060621234924574,5.59375,5.126878765075426,40.74074074074074,29.867046533713204,CRUS
1989-07-10,0.0,5.875,5.5,5.75,5.75,206000,5.5,5.475,5.571875,,,,45.821053442266034,,,,5.959727662102497,5.571875,5.184022337897503,52.59259259259259,40.67901234567901,CRUS
1989-07-11,0.0,6.0625,5.8125,5.8125,5.8125,265400,5.6,5.5,5.5625,,,,47.699237676351956,,,,5.916053390593274,5.5625,5.208946609406726,64.55840455840455,52.63057929724596,CRUS
1989-07-12,0.0,6.0,5.75,5.9375,5.9375,233000,5.6875,5.53125,5.56875,,,,51.33300289040682,,,,5.943541608764157,5.56875,5.193958391235842,77.94871794871794,65.0332383665717,CRUS
1989-07-13,0.0,6.25,5.9375,6.125,6.125,583400,5.825,5.6,5.590625,,,,56.243926001615854,,,,6.035166547552067,5.590625,5.146083452447933,80.44871794871794,74.31861348528014,CRUS
1989-07-14,0.0,6.25,6.125,6.1875,6.1875,79200,5.9625,5.6875,5.6125,,,,57.77352245595474,,,,6.124237237261485,5.6125,5.100762762738515,88.62179487179488,82.33974358974358,CRUS
1989-07-17,0.0,6.1875,6.125,6.125,6.125,826200,6.0375,5.76875,5.634375,,,,55.677467446806176,,,,6.1923778561754705,5.634375,5.07637214382453,89.58333333333333,86.21794871794869,CRUS
1989-07-18,0.0,6.25,6.125,6.25,6.25,314000,6.125,5.8625,5.665625,,,,58.889920739400026,,,,6.28469057609029,5.665625,5.046559423909711,93.75,90.65170940170937,CRUS
1989-07-19,0.0,6.6875,6.125,6.5625,6.5625,499200,6.25,5.96875,5.725,,,,65.60216891930195,,,,6.441327439094722,5.725,5.008672560905278,92.93478260869564,92.08937198067629,CRUS
1989-07-20,0.0,6.625,6.375,6.375,6.375,151600,6.3,6.0625,5.778125,,,,59.34158596339705,,,,6.521297044347739,5.778125,5.034952955652261,89.85507246376811,92.17995169082123,CRUS
1989-07-21,0.0,6.6875,6.375,6.5625,6.5625,520000,6.375,6.16875,5.825,,,,63.130767060035176,,,,6.638557004763655,5.825,5.0114429952363455,86.95652173913042,89.91545893719804,CRUS
1989-07-24,0.0,6.6875,6.5,6.625,6.625,112800,6.475,6.25625,5.865625,,,,64.32429056069165,,,,6.750634710398725,5.865625,4.980615289601274,88.26777087646651,88.35978835978834,CRUS
1989-07-25,0.0,6.875,6.5,6.875,6.875,344200,6.6,6.3625,5.93125,,,,68.69035102461719,,,,6.906650558744966,5.93125,4.955849441255035,95.51414768806073,90.24614676788588,CRUS
1989-07-26,0.0,6.875,6.75,6.875,6.875,37600,6.6625,6.45625,5.99375,,,,68.6903510246172,,,,7.040247133297543,5.99375,4.947252866702458,98.41269841269842,94.06487232574187,CRUS
1989-07-27,0.0,6.875,6.625,6.625,6.625,69600,6.7125,6.50625,6.053125,,,,60.152644548905286,0.2819441744497837,0.16763874134564963,0.11430543310413407,7.1013936618896984,6.053125,5.004856338110301,93.93939393939394,95.95541334671769,CRUS
1989-07-28,0.0,6.75,6.4375,6.5625,6.5625,356000,6.7125,6.54375,6.115625,,,,58.204909868542664,0.2742589106672977,0.18896277520997923,0.08529613545731846,7.128260021861286,6.115625,5.102989978138713,84.68013468013469,92.34407567740901,CRUS
1989-07-31,0.0,6.5625,6.4375,6.4375,6.4375,64800,6.675,6.575,6.171875,,,,54.41026945719604,0.2551407249611639,0.20219836516021616,0.05294235980094775,7.122922941746372,6.171875,5.220827058253628,71.71717171717172,83.4455667789001,CRUS
1989-08-01,0.0,6.5625,6.375,6.4375,6.4375,22200,6.5875,6.59375,6.228125,,,,54.41026945719604,0.2372545028271711,0.20920959269360714,0.028044910133563944,7.098896030466663,6.228125,5.357353969533338,62.22222222222223,72.87317620650953,CRUS
1989-08-02,0.0,6.4375,6.3125,6.4375,6.4375,41600,6.5,6.58125,6.275,,,,54.41026945719604,0.22053732590934594,0.2114751393367549,0.00906218657259103,7.082581265260635,6.275,5.467418734739366,52.037037037037045,61.992143658810306,CRUS
1989-08-03,0.0,6.5625,6.375,6.4375,6.4375,127800,6.4625,6.5875,6.325,,,,54.41026945719602,0.2049265767468409,0.2101654268187721,-0.0052388500719312,7.037170976662196,6.325,5.612829023337804,45.555555555555564,53.27160493827159,CRUS
