Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1999-03-01,1.0,1.0,1.0,1.0,1.0,5000,,,,,,,,,,,,,,,,CVV
1999-03-02,1.0,1.0,1.0,1.0,1.0,10000,,,,,,,,,,,,,,,,CVV
1999-03-03,1.125,1.125,1.125,1.125,1.125,600,,,,,,,,,,,,,,,,CVV
1999-03-04,1.125,1.125,1.125,1.125,1.125,0,,,,,,,,,,,,,,,,CVV
1999-03-05,1.125,1.125,1.125,1.125,1.125,0,1.075,,,,,,,,,,,,,,,CVV
1999-03-08,1.125,1.125,1.125,1.125,1.125,200,1.1,,,,,,,,,,,,,,,CVV
1999-03-09,1.125,1.125,1.125,1.125,1.125,500,1.125,,,,,,,,,,,,,,,CVV
1999-03-10,1.125,1.125,1.125,1.125,1.125,300,1.125,,,,,,,,,,,,,,,CVV
1999-03-11,1.09375,1.09375,1.09375,1.09375,1.09375,300,1.11875,,,,,,,,,,,,,,,CVV
1999-03-12,1.09375,1.09375,1.09375,1.09375,1.09375,0,1.1125,1.09375,,,,,,,,,,,,,,CVV
1999-03-15,1.09375,1.09375,1.09375,1.09375,1.09375,0,1.10625,1.103125,,,,,,,,,,,,,,CVV
1999-03-16,1.09375,1.09375,1.09375,1.09375,1.09375,0,1.1,1.1125,,,,,,,,,,,,,,CVV
1999-03-17,1.09375,1.09375,1.09375,1.09375,1.09375,0,1.09375,1.109375,,,,,,,,,,,,,,CVV
1999-03-18,1.09375,1.09375,1.09375,1.09375,1.09375,0,1.09375,1.10625,,,,,,,,,,,,,,CVV
1999-03-19,1.0,1.0,0.96875,1.0,1.0,7400,1.075,1.09375,,,,,50.0,,,,,,,,,CVV
1999-03-22,1.0,1.0,1.0,1.0,1.0,2500,1.05625,1.08125,,,,,50.0,,,,,,,,,CVV
1999-03-23,1.0,1.0,1.0,1.0,1.0,0,1.0375,1.06875,,,,,50.0,,,,,,,,,CVV
1999-03-24,1.0,1.0,1.0,1.0,1.0,0,1.01875,1.05625,,,,,50.0,,,,,,,20.0,26.111111111111114,CVV
1999-03-25,1.0,1.0,1.0,1.0,1.0,0,1.0,1.046875,,,,,50.0,,,,,,,20.0,20.000000000000004,CVV
1999-03-26,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0375,1.065625,,,,50.0,,,,1.175489973945292,1.065625,0.9557600260547081,20.0,20.000000000000004,CVV
1999-03-29,1.0,1.0,1.0,1.0,1.0,0,1.0,1.028125,1.065625,,,,50.0,,,,1.175489973945292,1.065625,0.9557600260547081,20.0,20.000000000000004,CVV
1999-03-30,1.0,1.0,1.0,1.0,1.0,0,1.0,1.01875,1.065625,,,,50.0,,,,1.175489973945292,1.065625,0.9557600260547081,21.666666666666668,20.555555555555557,CVV
1999-03-31,1.0,1.0,1.0,1.0,1.0,0,1.0,1.009375,1.059375,,,,50.0,,,,1.1692399739452959,1.059375,0.9495100260547039,23.333333333333332,21.666666666666668,CVV
1999-04-01,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.053125,,,,50.0,,,,1.161558447330605,1.053125,0.9446915526693951,25.0,23.333333333333332,CVV
1999-04-05,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.046875,,,,50.0,,,,1.1523871438508366,1.046875,0.9413628561491634,25.0,24.444444444444443,CVV
1999-04-06,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.040625,,,,50.0,,,,1.1415968401337744,1.040625,0.9396531598662254,25.0,25.0,CVV
