Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1986-06-11,0.0,10.25,9.25,9.25,9.25,0,,,,,,,,,,,,,,,,DJCO
1986-06-12,0.0,10.0,9.0,9.0,9.0,2200,,,,,,,,,,,,,,,,DJCO
1986-06-13,0.0,10.0,9.0,9.0,9.0,2300,,,,,,,,,,,,,,,,DJCO
1986-06-16,0.0,10.0,9.0,9.0,9.0,500,,,,,,,,,,,,,,,,DJCO
1986-06-17,9.0,9.0,9.0,9.0,9.0,0,9.05,,,,,,,,,,,,,,,DJCO
1986-06-18,0.0,10.0,9.0,9.0,9.0,200,9.0,,,,,,,,,,,,,,,DJCO
1986-06-19,0.0,10.0,9.0,9.0,9.0,1300,9.0,,,,,,,,,,,,,,,DJCO
1986-06-20,9.0,9.0,9.0,9.0,9.0,0,9.0,,,,,,,,,,,,,,,DJCO
1986-06-23,0.0,9.75,8.75,8.75,8.75,200,8.95,,,,,,,,,,,,,,,DJCO
1986-06-24,0.0,9.75,8.75,8.75,8.75,100,8.9,8.975,,,,,,,,,,,,,,DJCO
1986-06-25,0.0,9.5,8.75,8.75,8.75,600,8.85,8.925,,,,,,,,,,,,,,DJCO
1986-06-26,8.75,8.75,8.75,8.75,8.75,0,8.8,8.9,,,,,,,,,,,,,,DJCO
1986-06-27,8.75,8.75,8.75,8.75,8.75,0,8.75,8.875,,,,,,,,,,,,,,DJCO
1986-06-30,0.0,9.25,8.25,8.25,8.25,600,8.65,8.8,,,,,,,,,,,,,,DJCO
1986-07-01,8.25,8.25,8.25,8.25,8.25,0,8.55,8.725,,,,,0.0,,,,,,,,,DJCO
1986-07-02,8.25,8.25,8.25,8.25,8.25,0,8.45,8.65,,,,,0.0,,,,,,,,,DJCO
1986-07-03,8.25,8.25,8.25,8.25,8.25,0,8.35,8.575,,,,,0.0,,,,,,,,,DJCO
1986-07-07,0.0,8.25,7.25,7.25,7.25,300,8.05,8.4,,,,,0.0,,,,,,,0.0,0.0,DJCO
1986-07-08,0.0,8.25,7.25,7.25,7.25,100,7.85,8.25,,,,,0.0,,,,,,,0.0,0.0,DJCO
1986-07-09,0.0,8.25,7.25,7.25,7.25,800,7.65,8.1,8.5375,,,,0.0,,,,9.765048369719107,8.5375,7.309951630280893,0.0,0.0,DJCO
1986-07-10,0.0,8.25,7.25,7.25,7.25,0,7.45,7.95,8.4375,,,,0.0,,,,9.740141547011294,8.4375,7.134858452988706,0.0,0.0,DJCO
1986-07-11,0.0,8.25,7.25,7.25,7.25,100,7.25,7.8,8.35,,,,0.0,,,,9.722953021774595,8.35,6.977046978225405,0.0,0.0,DJCO
1986-07-14,0.0,8.25,7.25,7.25,7.25,1500,7.25,7.65,8.2625,,,,0.0,,,,9.680905795250439,8.2625,6.84409420474956,0.0,0.0,DJCO
1986-07-15,0.0,8.25,7.25,7.25,7.25,300,7.25,7.55,8.175,,,,0.0,,,,9.616353530539934,8.175,6.7336464694600675,0.0,0.0,DJCO
1986-07-16,0.0,8.25,7.25,7.25,7.25,100,7.25,7.45,8.0875,,,,0.0,,,,9.530370403050798,8.0875,6.644629596949204,0.0,0.0,DJCO
1986-07-17,0.0,8.25,7.25,7.25,7.25,0,7.25,7.35,8.0,,,,0.0,,,,9.423024947075763,8.0,6.5769750529242375,0.0,0.0,DJCO
1986-07-18,0.0,8.25,7.25,7.25,7.25,100,7.25,7.25,7.9125,,,,0.0,,,,9.293396447964163,7.9125,6.531603552035836,0.0,0.0,DJCO
1986-07-21,0.0,8.25,7.25,7.25,7.25,3200,7.25,7.25,7.825,,,,0.0,,,,9.13934394280949,7.825,6.510656057190512,0.0,0.0,DJCO
1986-07-22,0.0,8.25,7.25,7.25,7.25,200,7.25,7.25,7.75,,,,0.0,,,,9.01491106406735,7.75,6.485088935932651,0.0,0.0,DJCO
1986-07-23,0.0,8.25,7.25,7.25,7.25,500,7.25,7.25,7.675,,,,0.0,,,,8.869780314534855,7.675,6.480219685465144,0.0,0.0,DJCO
1986-07-24,0.0,8.25,7.25,7.25,7.25,100,7.25,7.25,7.6,,,,0.0,,,,8.700000000000003,7.6,6.4999999999999964,0.0,0.0,DJCO
