Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1999-12-02,75.0,88.0,55.5,56.625,54.34857177734375,6383900,,,,,,,,,,,,,,,,DMRC
1999-12-03,61.25,66.25,58.0625,59.0,56.628089904785156,1765300,,,,,,,,,,,,,,,,DMRC
1999-12-06,64.9375,65.0,57.625,61.0,58.54768371582031,658100,,,,,,,,,,,,,,,,DMRC
1999-12-07,62.0,64.5,60.125,63.125,60.587257385253906,479000,,,,,,,,,,,,,,,,DMRC
1999-12-08,63.125,63.5,58.125,59.625,57.227962493896484,703300,59.875,,,,,,,,,,,,,,,DMRC
1999-12-09,61.5,61.75,55.125,57.9375,55.608306884765625,356400,60.1375,,,,,,,,,,,,,,,DMRC
1999-12-10,58.0,59.0,54.75,55.375,53.14882278442383,333700,59.4125,,,,,,,,,,,,,,,DMRC
1999-12-13,55.0625,55.9375,49.875,50.75,48.709754943847656,604600,57.3625,,,,,,,,,,,,,,,DMRC
1999-12-14,51.4375,51.5,42.5,45.5,43.670814514160156,281800,53.8375,,,,,,,,,,,,,,,DMRC
1999-12-15,43.0,50.0,42.0,42.5,40.791419982910156,560600,50.4125,55.14375,,,,,,,,,,,,,,DMRC
1999-12-16,43.0,51.5,43.0,51.25,49.189659118652344,342800,49.075,54.60625,,,,,,,,,,,,,,DMRC
1999-12-17,51.6875,61.375,51.0,60.125,57.707862854003906,593400,50.025,54.71875,,,,,,,,,,,,,,DMRC
1999-12-20,61.6875,61.8125,56.0,57.75,55.428348541259766,215900,51.425,54.39375,,,,,,,,,,,,,,DMRC
1999-12-21,57.5,64.1875,55.0,63.625,61.067161560058594,377900,55.05,54.44375,,,,,,,,,,,,,,DMRC
1999-12-22,63.6875,63.875,53.5,63.375,60.827213287353516,207800,59.225,54.81875,,,,,56.33802816901407,,,,,,,,,DMRC
1999-12-23,63.25,65.5,59.25,62.3125,59.80742645263672,357700,61.4375,55.25625,,,,,55.152907901714684,,,,,,,,,DMRC
1999-12-27,62.3125,63.8125,57.875,59.375,56.988014221191406,239700,61.2875,55.65625,,,,,51.90218434488849,,,,,,,,,DMRC
1999-12-28,58.5,60.0,55.0,55.0625,52.8488883972168,123700,60.75,56.0875,,,,,47.47793718411747,,,,,,,71.9858156028369,76.22949853398227,DMRC
1999-12-29,56.25,56.5,54.75,55.375,53.14882278442383,115800,59.1,57.075,,,,,47.825010886866245,,,,,,,62.145390070922,72.32336526041287,DMRC
1999-12-30,56.25,56.5,50.25,51.5,49.42961120605469,175400,56.725,57.975,56.559375,,,,43.94694656114498,,,,67.90993080962882,56.559375,45.208819190371194,50.975177304964554,61.70212765957447,DMRC
1999-12-31,52.0,52.125,47.5625,50.0,47.989906311035156,157100,54.2625,57.85,56.228125,,,,42.5099530987726,,,,67.9328432660456,56.228125,44.52340673395441,43.79432624113477,52.304964539007095,DMRC
2000-01-03,52.0,55.0,50.125,51.75,49.6695556640625,237600,52.7375,57.0125,55.865625,,,,44.77859029734512,,,,67.65328240881117,55.865625,44.077967591188845,38.652482269503565,44.473995271867615,DMRC
2000-01-04,52.625,55.0,51.125,51.125,49.069679260253906,149600,51.95,56.35,55.371875,,,,44.10912589441246,,,,67.08494695775293,55.371875,43.65880304224708,38.120567375886544,40.18912529550828,DMRC
2000-01-05,51.125,52.5,47.5,48.0,46.07030487060547,103800,50.475,54.7875,54.615625,,,,40.8227725439202,,,,66.18087973941238,54.615625,43.050370260587634,34.1804570527975,36.98450223272919,DMRC
2000-01-06,48.0,49.5,46.625,46.625,44.75058364868164,61600,49.5,53.1125,53.965625,,,,39.43071305082847,,,,65.79002211729521,53.965625,42.141227882704804,20.350669818754948,30.88389808247965,DMRC
2000-01-07,46.5,47.375,43.25,45.0,43.190914154052734,123100,48.5,51.38125,53.31875,,,,37.790597638422994,,,,65.6095557608116,53.31875,41.02794423918841,10.02913025384938,21.520085708467263,DMRC
2000-01-10,46.0,46.5,43.0,44.25,42.471073150634766,150200,47.0,49.86875,52.7625,,,,37.02512634305626,,,,65.62442297053585,52.7625,39.90057702946416,4.473574698293823,11.61779159029937,DMRC
2000-01-11,43.6875,46.625,42.75,42.75,41.031368255615234,193000,45.325,48.6375,52.3625,,,,35.4773404497697,,,,65.92823118191569,52.3625,38.7967688180843,4.473574698293823,6.3254265501456635,DMRC
2000-01-12,44.125,44.25,42.125,43.5,41.751220703125,174400,44.425,47.45,52.2625,,,,36.89775090816273,,,,66.05666769870513,52.2625,38.46833230129488,3.812636165577366,4.253261854054992,DMRC
2000-01-13,43.5625,44.0,42.5,43.0,41.27132034301758,61600,43.7,46.6,52.2875,,,,36.32365484893613,,,,66.01244307820616,52.2875,38.56255692179384,3.305645024580461,3.863951962817205,DMRC
2000-01-14,43.0,44.75,42.75,43.625,41.87118911743164,234400,43.425,45.9625,51.90625,,,,37.62999167367174,,,,66.13949124189566,51.90625,37.673008758104345,6.102847821783258,4.40704300398035,DMRC
