Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1999-01-27,8.0,9.375,7.625,9.25,9.25,5972200,,,,,,,,,,,,,,,,DSGX
1999-01-28,9.125,9.3125,9.0,9.0,9.0,1445700,,,,,,,,,,,,,,,,DSGX
1999-01-29,9.0,9.125,8.5,8.8125,8.8125,805300,,,,,,,,,,,,,,,,DSGX
1999-02-01,8.875,9.625,8.75,9.5,9.5,393000,,,,,,,,,,,,,,,,DSGX
1999-02-02,9.25,9.6875,8.9375,9.0,9.0,258400,9.1125,,,,,,,,,,,,,,,DSGX
1999-02-03,8.9375,9.0,8.5,8.5,8.5,531300,8.9625,,,,,,,,,,,,,,,DSGX
1999-02-04,8.5,8.5625,8.25,8.25,8.25,308900,8.8125,,,,,,,,,,,,,,,DSGX
1999-02-05,8.375,8.375,8.125,8.125,8.125,198900,8.675,,,,,,,,,,,,,,,DSGX
1999-02-08,8.125,8.125,7.9375,8.0,8.0,113600,8.375,,,,,,,,,,,,,,,DSGX
1999-02-09,8.0,8.0,7.75,7.75,7.75,377300,8.125,8.61875,,,,,,,,,,,,,,DSGX
1999-02-10,7.75,7.875,7.625,7.625,7.625,44700,7.95,8.45625,,,,,,,,,,,,,,DSGX
1999-02-11,7.625,7.875,7.25,7.875,7.875,209400,7.875,8.34375,,,,,,,,,,,,,,DSGX
1999-02-12,7.625,7.8125,7.25,7.5,7.5,120200,7.75,8.2125,,,,,,,,,,,,,,DSGX
1999-02-16,7.375,7.375,6.875,7.0,7.0,63800,7.55,7.9625,,,,,,,,,,,,,,DSGX
1999-02-17,6.875,6.875,6.5625,6.5625,6.5625,66200,7.3125,7.71875,,,,,20.54794520547945,,,,,,,,,DSGX
1999-02-18,6.625,7.25,6.5625,7.0,7.0,147900,7.1875,7.56875,,,,,27.984718242597893,,,,,,,,,DSGX
1999-02-19,7.125,7.5625,7.125,7.421875,7.421875,138400,7.096875,7.4859375,,,,,34.36453729744208,,,,,,,,,DSGX
1999-02-22,7.5625,8.03125,7.5,7.9375,7.9375,591100,7.184375,7.4671875,,,,,41.21874711689271,,,,,,,28.5,16.160493827160494,DSGX
1999-02-23,8.125,8.1875,7.25,7.375,7.375,230700,7.259375,7.4046875,,,,,36.71443074398429,,,,,,,34.94444444444445,25.759259259259263,DSGX
1999-02-24,7.375,7.375,6.875,6.9375,6.9375,124000,7.334375,7.3234375,7.97109375,,,,33.63568002501823,,,,9.594478614401787,7.97109375,6.3477088855982124,32.02777777777778,31.824074074074076,DSGX
1999-02-25,6.9375,7.125,6.8125,7.125,7.125,1338100,7.359375,7.2734375,7.86484375,,,,36.10847922197748,,,,9.416061612026066,7.86484375,6.313625887973934,27.705938697318015,31.559386973180082,DSGX
1999-02-26,7.125,7.125,6.875,6.875,6.875,287000,7.25,7.1734375,7.75859375,,,,34.27468301797515,,,,9.274958743320783,7.75859375,6.242228756679218,23.005083996463313,27.579600157186366,DSGX
1999-03-01,7.0,7.0,6.4375,6.5,6.5,277700,6.9625,7.0734375,7.64296875,,,,31.676028534319745,,,,9.172855739035068,7.64296875,6.113081760964931,17.945560186939503,22.885527626906946,DSGX
