Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1986-11-25,0.0,18.5,18.375,18.375,14.145726203918457,339000,,,,,,,,,,,,,,,,DXYN
1986-11-26,0.0,18.5,18.25,18.25,14.049492835998535,160400,,,,,,,,,,,,,,,,DXYN
1986-11-28,0.0,18.75,18.5,18.5,14.24195384979248,27100,,,,,,,,,,,,,,,,DXYN
1986-12-01,0.0,18.5,18.25,18.25,14.049492835998535,39300,,,,,,,,,,,,,,,,DXYN
1986-12-02,0.0,18.5,18.25,18.25,14.049492835998535,20900,18.325,,,,,,,,,,,,,,,DXYN
1986-12-03,0.0,18.5,18.25,18.25,14.049492835998535,23400,18.3,,,,,,,,,,,,,,,DXYN
1986-12-04,0.0,18.5,18.25,18.25,14.049492835998535,20900,18.3,,,,,,,,,,,,,,,DXYN
1986-12-05,0.0,18.75,18.25,18.25,14.049492835998535,21600,18.25,,,,,,,,,,,,,,,DXYN
1986-12-08,0.0,19.0,18.5,18.5,14.24195384979248,19600,18.3,,,,,,,,,,,,,,,DXYN
1986-12-09,0.0,19.0,18.5,18.5,14.24195384979248,10000,18.35,18.3375,,,,,,,,,,,,,,DXYN
1986-12-10,0.0,19.0,18.5,18.5,14.24195384979248,3700,18.4,18.35,,,,,,,,,,,,,,DXYN
1986-12-11,0.0,19.0,18.5,18.5,14.24195384979248,2100,18.45,18.375,,,,,,,,,,,,,,DXYN
1986-12-12,0.0,19.0,18.5,18.5,14.24195384979248,13200,18.5,18.375,,,,,,,,,,,,,,DXYN
1986-12-15,0.0,19.0,18.5,18.5,14.24195384979248,26600,18.5,18.4,,,,,,,,,,,,,,DXYN
1986-12-16,0.0,18.875,18.375,18.75,14.434412002563477,74000,18.55,18.45,,,,,66.66666666666667,,,,,,,,,DXYN
1986-12-17,0.0,19.0,18.5,18.5,14.24195384979248,125400,18.55,18.475,,,,,53.79310344827586,,,,,,,,,DXYN
1986-12-18,0.0,18.75,18.375,18.5,14.24195384979248,28400,18.55,18.5,,,,,53.79310344827586,,,,,,,,,DXYN
1986-12-19,0.0,18.5,18.0,18.25,14.049492835998535,116200,18.5,18.5,,,,,43.95025505951388,,,,,,,30.555555555555557,39.81481481481482,DXYN
1986-12-22,0.0,18.5,17.5,18.0,13.857038497924805,83600,18.4,18.45,,,,,36.715437469603046,,,,,,,30.555555555555557,35.18518518518518,DXYN
1986-12-23,0.0,18.5,17.75,18.0,13.857038497924805,14700,18.25,18.4,18.36875,,,,36.71543746960305,,,,18.735108772244054,18.36875,18.002391227755943,30.555555555555557,30.555555555555554,DXYN
1986-12-24,0.0,18.25,17.875,18.0,13.857038497924805,38000,18.15,18.35,18.35,,,,36.715437469603046,,,,18.74999999999982,18.35,17.950000000000184,33.333333333333336,31.481481481481477,DXYN
1986-12-26,0.0,18.25,18.0,18.0,13.92123031616211,400,18.05,18.3,18.3375,,,,36.715437469603046,,,,18.763968052731055,18.3375,17.911031947268942,33.333333333333336,32.4074074074074,DXYN
1986-12-29,0.0,18.0,18.0,18.0,13.92123031616211,1400,18.0,18.25,18.3125,,,,36.71543746960304,,,,18.756205983732574,18.3125,17.868794016267426,33.333333333333336,33.33333333333332,DXYN
1986-12-30,0.0,18.25,18.0,18.0,13.92123031616211,8400,18.0,18.2,18.3,,,,36.71543746960304,,,,18.763680924774697,18.3,17.836319075225305,33.333333333333336,33.33333333333332,DXYN
1986-12-31,0.0,18.25,18.0,18.0,13.92123031616211,4400,18.0,18.125,18.2875,,,,36.71543746960304,,,,18.7690340071064,18.2875,17.805965992893604,33.333333333333336,33.33333333333332,DXYN
1987-01-02,0.0,18.5,17.75,18.5,14.307929992675781,10100,18.1,18.125,18.3,,,,59.252253547221265,,,,18.789897948556412,18.3,17.81010205144359,44.444444444444436,37.03703703703702,DXYN
1987-01-05,0.0,18.5,18.5,18.5,14.307929992675781,4000,18.2,18.125,18.3125,,,,59.252253547221265,,,,18.80936517285884,18.3125,17.81563482714116,55.55555555555554,44.44444444444442,DXYN
1987-01-06,0.0,18.5,18.375,18.375,14.21125602722168,8300,18.275,18.1375,18.31875,,,,53.70684214510374,,,,18.81545791215731,18.31875,17.822042087842693,63.88888888888888,54.6296296296296,DXYN
1987-01-07,0.0,18.75,18.5,18.5,14.307929992675781,4400,18.375,18.1875,18.31875,,,,57.9454795550368,,,,18.81545791215731,18.31875,17.822042087842693,63.88888888888888,61.111111111111086,DXYN
1987-01-08,0.0,19.0,18.5,18.5,14.307929992675781,3600,18.475,18.2375,18.31875,,,,57.9454795550368,,,,18.81545791215731,18.31875,17.822042087842693,63.88888888888888,63.888888888888864,DXYN
1987-01-09,0.0,19.25,18.5,19.25,14.887977600097656,3800,18.625,18.3625,18.35625,,,,74.31209236028417,,,,18.994974314552245,18.35625,17.717525685447754,77.77777777777776,68.51851851851849,DXYN
1987-01-12,0.0,19.75,19.0,19.75,15.274681091308594,27100,18.875,18.5375,18.41875,,,,79.92204327490103,,,,19.300066486853673,18.41875,17.537433513146325,88.88888888888886,76.85185185185182,DXYN
1987-01-13,0.0,20.0,19.25,19.5,15.081332206726074,7600,19.1,18.6875,18.46875,,,,71.5125940984706,,,,19.468359298676216,18.46875,17.469140701323784,92.59259259259255,86.4197530864197,DXYN
1987-01-14,0.0,20.75,19.5,20.75,16.048080444335938,17500,19.55,18.9625,18.58125,,,,81.81545896610672,0.3538107959816301,0.06045833373122436,0.2933524622504058,19.991646664062973,18.58125,17.17085333593703,92.59259259259255,91.35802469135797,DXYN
1987-01-15,0.0,21.25,20.75,20.75,16.048080444335938,8000,20.0,19.2375,18.68125,,,,81.81545896610672,0.4592090208447921,0.14020847115393792,0.3190005496908542,20.379548781133686,18.68125,16.98295121886631,87.8306878306878,91.00529100529094,DXYN
1987-01-16,0.0,21.0,20.5,20.875,16.144752502441406,36500,20.325,19.475,18.8,,,,82.54749464162275,0.5465243363832251,0.22147164419979537,0.3250526921834297,20.745186366392648,18.8,16.854813633607353,91.66666666666663,90.69664902998231,DXYN
1987-01-19,0.0,21.0,20.5,21.0,16.241432189941406,8800,20.575,19.725,18.925,,,,83.27266707530214,0.6186770840400229,0.30091273216784087,0.317764351872182,21.08630747465507,18.925,16.763692525344933,89.28571428571423,89.59435626102287,DXYN
