Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1999-02-03,4.8125,4.875,4.75,4.75,3.2323217391967773,52000,,,,,,,,,,,,,,,,EWBC
1999-02-04,4.875,4.875,4.875,4.875,3.3173842430114746,400,,,,,,,,,,,,,,,,EWBC
1999-02-05,4.875,4.875,4.875,4.875,3.3173842430114746,0,,,,,,,,,,,,,,,,EWBC
1999-02-08,5.0,5.0,4.6875,4.8125,3.274855852127075,495200,,,,,,,,,,,,,,,,EWBC
1999-02-09,4.875,4.875,4.75,4.78125,3.253589630126953,88200,4.81875,,,,,,,,,,,,,,,EWBC
1999-02-10,4.8125,4.8125,4.6875,4.71875,3.2110562324523926,83800,4.8125,,,,,,,,,,,,,,,EWBC
1999-02-11,4.6875,4.6875,4.5625,4.625,3.1472623348236084,938600,4.7625,,,,,,,,,,,,,,,EWBC
1999-02-12,4.59375,4.59375,4.5,4.5625,3.1047306060791016,112600,4.7,,,,,,,,,,,,,,,EWBC
1999-02-16,4.625,4.625,4.53125,4.625,3.1472623348236084,23200,4.6625,,,,,,,,,,,,,,,EWBC
1999-02-17,4.625,4.65625,4.625,4.65625,3.168527126312256,34800,4.6375,4.728125,,,,,,,,,,,,,,EWBC
1999-02-18,4.65625,4.65625,4.625,4.625,3.1472623348236084,12000,4.61875,4.715625,,,,,,,,,,,,,,EWBC
1999-02-19,4.6875,4.6875,4.625,4.625,3.1472623348236084,5000,4.61875,4.690625,,,,,,,,,,,,,,EWBC
1999-02-22,4.71875,4.71875,4.625,4.625,3.1472623348236084,12600,4.63125,4.665625,,,,,,,,,,,,,,EWBC
1999-02-23,4.625,4.6875,4.5625,4.6875,3.189793109893799,144400,4.64375,4.653125,,,,,,,,,,,,,,EWBC
1999-02-24,4.625,4.6875,4.625,4.6875,3.189793109893799,1800,4.65,4.64375,,,,,45.0,,,,,,,,,EWBC
1999-02-25,4.6875,4.6875,4.5625,4.5625,3.1047306060791016,30800,4.6375,4.628125,,,,,37.02531645569621,,,,,,,,,EWBC
1999-02-26,4.6875,4.6875,4.625,4.6875,3.189793109893799,408400,4.65,4.634375,,,,,47.11774325429273,,,,,,,,,EWBC
1999-03-01,4.6875,4.6875,4.625,4.625,3.1472623348236084,800,4.65,4.640625,,,,,43.374732210063115,,,,,,,27.777777777777782,28.703703703703706,EWBC
1999-03-02,4.625,4.875,4.625,4.875,3.3173842430114746,75000,4.6875,4.665625,,,,,57.81163411922816,,,,,,,56.94444444444445,37.96296296296296,EWBC
1999-03-03,4.75,4.75,4.75,4.75,3.2323217391967773,18000,4.7,4.675,4.7015625,,,,50.83308850149223,,,,4.896693665821914,4.7015625,4.506431334178085,66.66666666666667,50.46296296296296,EWBC
1999-03-04,4.8125,4.8125,4.75,4.75,3.2323217391967773,2200,4.7375,4.6875,4.7015625,,,,50.83308850149223,,,,4.896693665821914,4.7015625,4.506431334178085,77.77777777777777,67.12962962962962,EWBC
1999-03-05,4.625,4.625,4.625,4.625,3.1472623348236084,8000,4.725,4.6875,4.6890625,,,,44.59054189693329,,,,4.869637752664881,4.6890625,4.50848724733512,53.53535353535353,65.99326599326598,EWBC
1999-03-08,4.625,4.75,4.625,4.75,3.2323217391967773,11600,4.75,4.7,4.6828125,,,,51.06257978212378,,,,4.844921404366797,4.6828125,4.5207035956332025,51.313131313131315,60.87542087542085,EWBC
1999-03-09,4.75,4.75,4.5625,4.65625,3.168527126312256,205800,4.70625,4.696875,4.675,,,,46.66055026011508,,,,4.826038074669934,4.675,4.523961925330066,39.090909090909086,47.97979797979796,EWBC
1999-03-10,4.6875,4.6875,4.625,4.625,3.1472623348236084,10000,4.68125,4.690625,4.6671875,,,,45.259907786889144,,,,4.811446111094838,4.6671875,4.522928888905161,36.666666666666664,42.35690235690234,EWBC
1999-03-11,4.625,4.875,4.625,4.75,3.2323217391967773,209000,4.68125,4.709375,4.66875,,,,51.527714662482296,,,,4.81585752869926,4.66875,4.521642471300741,36.666666666666664,37.47474747474745,EWBC
1999-03-12,4.9375,4.9375,4.8125,4.8125,3.274855852127075,408400,4.71875,4.721875,4.678125,,,,54.342693026595114,,,,4.836362361264695,4.678125,4.519887638735304,48.88888888888889,40.74074074074071,EWBC
1999-03-15,4.9375,4.9375,4.8125,4.8125,3.274855852127075,4800,4.73125,4.740625,4.690625,,,,54.3426930265951,,,,4.849846740035732,4.690625,4.531403259964268,64.44444444444446,49.99999999999998,EWBC
1999-03-16,4.8125,4.875,4.8125,4.8125,3.274855852127075,767800,4.7625,4.734375,4.7,,,,54.342693026595114,,,,4.864649248403935,4.7,4.535350751596066,66.66666666666669,59.99999999999999,EWBC
1999-03-17,4.875,4.875,4.84375,4.875,3.3173842430114746,118200,4.8125,4.746875,4.7109375,,,,57.43039407439146,,,,4.890862614631044,4.7109375,4.531012385368956,72.22222222222224,67.77777777777777,EWBC
1999-03-18,4.8125,4.9375,4.8125,4.9375,3.359915256500244,150400,4.85,4.765625,4.7265625,,,,60.320264716018954,,,,4.927025830499606,4.7265625,4.526099169500394,83.33333333333336,74.07407407407408,EWBC
1999-03-19,4.875,4.875,4.8125,4.84375,3.2961199283599854,56200,4.85625,4.7875,4.7375,,,,54.3591513205383,,,,4.938474189885206,4.7375,4.536525810114794,86.11111111111113,80.55555555555556,EWBC
1999-03-22,4.8125,4.8125,4.75,4.75,3.2323217391967773,10600,4.84375,4.7875,4.74375,,,,49.130387588266494,,,,4.938003378348963,4.74375,4.549496621651038,75.00000000000001,81.48148148148148,EWBC
1999-03-23,4.75,4.75,4.75,4.75,3.2323217391967773,34800,4.83125,4.796875,4.746875,,,,49.13038758826649,0.028694100342109508,0.022797158143136247,0.00589694219897326,4.939411522509347,4.746875,4.554338477490654,58.33333333333334,73.14814814814814,EWBC
1999-03-24,4.75,4.75,4.71875,4.75,3.2323217391967773,80000,4.80625,4.809375,4.75,,,,49.130387588266494,0.02385830894412777,0.02300938830333455,0.0008489206407932201,4.940599383524704,4.75,4.559400616475296,50.00000000000001,61.11111111111111,EWBC
1999-03-25,4.671875,4.6875,4.671875,4.6875,3.189793109893799,52800,4.75625,4.803125,4.75625,,,,45.4872247591049,0.014811938943496195,0.021369898431366878,-0.0065579594878706834,4.929229406288765,4.75625,4.583270593711235,44.44444444444446,50.925925925925924,EWBC
1999-03-26,4.625,4.625,4.625,4.625,3.1472623348236084,200,4.7125,4.784375,4.753125,,,,42.1233775450976,0.002569775108887562,0.017609873766871016,-0.015040098657983454,4.933077250611109,4.753125,4.573172749388891,33.33333333333335,42.59259259259259,EWBC
1999-03-29,4.625,4.625,3.5,3.75,2.5518336296081543,348400,4.5125,4.678125,4.709375,,,,19.916861121432746,-0.07685151877986662,-0.0012824047424765117,-0.07556911403739011,5.181281042025325,4.709375,4.2374689579746745,22.46376811594204,33.41384863123994,EWBC
1999-03-30,4.25,4.6875,4.25,4.5,3.0622000694274902,216600,4.4625,4.646875,4.690625,,,,46.13093747767886,-0.07837131862114344,-0.016700187518209897,-0.06167113110293354,5.16451350218169,4.690625,4.216736497818309,34.54106280193238,30.112721417069242,EWBC
1999-03-31,4.4375,4.6875,4.4375,4.46875,3.0409348011016846,206400,4.40625,4.60625,4.6765625,,,,45.46316793108891,-0.08116180204526469,-0.029592510423620856,-0.05156929162164383,5.159180280313775,4.6765625,4.193944719686225,51.44927536231884,36.15136876006441,EWBC
1999-04-01,4.5625,4.5625,4.4375,4.46875,3.0409348011016846,309600,4.3625,4.559375,4.6625,,,,45.46316793108891,-0.08242315741122574,-0.04015863982114183,-0.042264517590083914,5.15207890068917,4.6625,4.172921099310829,68.1159420289855,51.36876006441222,EWBC
1999-04-05,4.4375,4.46875,4.4375,4.4375,3.01967191696167,46600,4.325,4.51875,4.653125,,,,44.71252586282143,-0.08496498104653671,-0.04911990806622081,-0.035845072980315903,5.1523040134811255,4.653125,4.153945986518875,66.66666666666667,62.07729468599032,EWBC
1999-04-06,4.4375,4.46875,4.4375,4.46875,3.0409348011016846,14000,4.46875,4.490625,4.6390625,,,,45.6784216434254,-0.08349529892552354,-0.05599498623808136,-0.027500312687442185,5.142362159124675,4.6390625,4.135762840875325,66.66666666666667,67.14975845410625,EWBC
1999-04-07,4.46875,4.46875,4.40625,4.40625,2.9984045028686523,5600,4.45,4.45625,4.6265625,,,,44.021937247795414,-0.08637808018198889,-0.06207160502686286,-0.02430647515512603,5.139852668301511,4.6265625,4.113272331698489,65.21739130434783,66.18357487922702,EWBC
1999-04-08,4.40625,4.40625,4.1875,4.25,2.8920793533325195,20400,4.40625,4.40625,4.6078125,,,,40.10620882985052,-0.10011669136375545,-0.06968062229424138,-0.03043606906951407,5.146718727348519,4.6078125,4.06890627265148,61.66007905138341,64.51471234079926,EWBC
1999-04-09,4.1875,4.25,4.1875,4.25,2.8920793533325195,355800,4.3625,4.3625,4.5828125,,,,40.10620882985052,-0.10973962956754679,-0.07769242374890246,-0.03204720581864433,5.139123943235715,4.5828125,4.026501056764285,58.24392998306044,61.707133446263846,EWBC
1999-04-12,4.375,4.375,4.375,4.375,2.9771385192871094,5200,4.35,4.3375,4.5609375,,,,44.672307811952585,-0.10605686457544561,-0.0833653119142111,-0.022691552661234515,5.11379760606212,4.5609375,4.008077393937879,60.56277056277059,60.15559319907143,EWBC
