Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2018-02-16,880.0,1330.0,846.0,1236.0,1236.0,524,,,,,,,,,,,,,,,,FAMI
2018-02-20,1250.0,1400.0,1132.0,1210.0,1210.0,520,,,,,,,,,,,,,,,,FAMI
2018-02-21,1210.0,1232.0,1128.0,1196.0,1196.0,341,,,,,,,,,,,,,,,,FAMI
2018-02-22,1220.0,1284.0,1152.0,1240.0,1240.0,358,,,,,,,,,,,,,,,,FAMI
2018-02-23,1190.0,1286.0,1172.0,1182.0,1182.0,362,1212.8,,,,,,,,,,,,,,,FAMI
2018-02-26,1200.0,1340.0,1200.0,1334.0,1334.0,963,1232.4,,,,,,,,,,,,,,,FAMI
2018-02-27,1380.0,1380.0,1286.0,1292.0,1292.0,530,1248.8,,,,,,,,,,,,,,,FAMI
2018-02-28,1300.0,1306.0,1220.0,1240.0,1240.0,269,1257.6,,,,,,,,,,,,,,,FAMI
2018-03-01,1204.0,1292.0,1150.0,1264.0,1264.0,284,1262.4,,,,,,,,,,,,,,,FAMI
2018-03-02,1240.0,1300.0,1200.0,1280.0,1280.0,323,1282.0,1247.4,,,,,,,,,,,,,,FAMI
2018-03-05,1294.0,1316.0,1250.0,1290.0,1290.0,1018,1273.2,1252.8,,,,,,,,,,,,,,FAMI
2018-03-06,1284.0,1304.0,1284.0,1304.0,1304.0,894,1275.6,1262.2,,,,,,,,,,,,,,FAMI
2018-03-07,1310.0,1310.0,1294.0,1302.0,1302.0,581,1288.0,1272.8,,,,,,,,,,,,,,FAMI
2018-03-08,1310.0,1326.0,1304.0,1314.0,1314.0,835,1298.0,1280.2,,,,,,,,,,,,,,FAMI
2018-03-09,1314.0,1324.0,1302.0,1316.0,1316.0,1140,1305.2,1293.6,,,,,58.54700854700855,,,,,,,,,FAMI
2018-03-12,1296.0,1342.0,1294.0,1342.0,1342.0,869,1315.6,1294.4,,,,,60.88709677419355,,,,,,,,,FAMI
2018-03-13,1348.0,1348.0,1302.0,1310.0,1310.0,1373,1316.8,1296.2,,,,,56.648463860770725,,,,,,,,,FAMI
2018-03-14,1290.0,1314.0,1286.0,1314.0,1314.0,758,1319.2,1303.6,,,,,57.05094804368714,,,,,,,75.26340004600874,76.43427953158626,FAMI
2018-03-15,1310.0,1326.0,1300.0,1320.0,1320.0,1065,1320.4,1309.2,,,,,57.685560887951645,,,,,,,71.59420289855073,73.79736757827123,FAMI
2018-03-16,1314.0,1352.0,1310.0,1310.0,1310.0,1670,1319.2,1312.2,1279.8,,,,56.19521174907436,,,,1371.4768236797097,1279.8,1188.1231763202902,71.59420289855073,72.81726861437006,FAMI
2018-03-19,1300.0,1326.0,1290.0,1302.0,1302.0,636,1311.2,1313.4,1283.1,,,,54.97162670401933,,,,1372.9663452021994,1283.1,1193.2336547978005,72.90859520734682,72.03233366814943,FAMI
