Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2013-02-22,750.0,850.0,750.0,850.0,850.0,80,,,,,,,,,,,,,,,,KTRA
2013-02-25,850.0,855.0,850.0,855.0,855.0,14,,,,,,,,,,,,,,,,KTRA
2013-02-26,860.0,870.0,750.0,870.0,870.0,260,,,,,,,,,,,,,,,,KTRA
2013-02-27,925.0,1700.0,925.0,1700.0,1700.0,15,,,,,,,,,,,,,,,,KTRA
2013-02-28,1625.0,1625.0,1005.0,1100.0,1100.0,8,1075.0,,,,,,,,,,,,,,,KTRA
2013-03-01,1100.0,1100.0,1025.0,1050.0,1050.0,7,1115.0,,,,,,,,,,,,,,,KTRA
2013-03-04,1050.0,1050.0,1050.0,1050.0,1050.0,0,1154.0,,,,,,,,,,,,,,,KTRA
2013-03-05,1050.0,1050.0,1050.0,1050.0,1050.0,0,1190.0,,,,,,,,,,,,,,,KTRA
2013-03-06,1125.0,1500.0,1125.0,1225.0,1225.0,20,1095.0,,,,,,,,,,,,,,,KTRA
2013-03-07,1250.0,1250.0,1225.0,1225.0,1225.0,10,1120.0,1097.5,,,,,,,,,,,,,,KTRA
2013-03-08,1225.0,1225.0,1225.0,1225.0,1225.0,1,1155.0,1135.0,,,,,,,,,,,,,,KTRA
2013-03-11,1125.0,1125.0,1125.0,1125.0,1125.0,4,1170.0,1162.0,,,,,,,,,,,,,,KTRA
2013-03-12,1050.0,1050.0,900.0,900.0,900.0,29,1140.0,1165.0,,,,,,,,,,,,,,KTRA
2013-03-13,1125.0,1125.0,1125.0,1125.0,1125.0,1,1120.0,1107.5,,,,,,,,,,,,,,KTRA
2013-03-14,1000.0,1000.0,925.0,925.0,925.0,6,1060.0,1090.0,,,,,51.54639175257733,,,,,,,,,KTRA
2013-03-15,930.0,1120.0,750.0,995.0,995.0,156,1014.0,1084.5,,,,,53.00722965697585,,,,,,,,,KTRA
2013-03-18,840.0,995.0,800.0,995.0,995.0,54,988.0,1079.0,,,,,53.00722965697585,,,,,,,,,KTRA
2013-03-19,835.0,835.0,750.0,795.0,795.0,189,967.0,1053.5,,,,,48.19265343681756,,,,,,,18.907268170426068,23.378446115288217,KTRA
2013-03-20,760.0,800.0,750.0,750.0,750.0,6,892.0,1006.0,,,,,47.154846670458966,,,,,,,10.310776942355892,17.517126148705096,KTRA
2013-03-21,750.0,750.0,625.0,700.0,700.0,69,847.0,953.5,1025.5,,,,45.970292037111165,,,,1460.987083620169,1025.5,590.012916379831,4.571428571428572,11.263157894736842,KTRA
2013-03-22,660.0,745.0,650.0,700.0,700.0,112,788.0,901.0,1018.0,,,,45.97029203711116,,,,1470.1658987584092,1018.0,565.8341012415908,5.714285714285715,6.8654970760233915,KTRA
2013-03-25,735.0,735.0,725.0,730.0,730.0,117,735.0,861.5,1011.75,,,,46.898522844278546,,,,1476.04812620772,1011.75,547.4518737922799,9.714285714285715,6.666666666666667,KTRA
2013-03-26,735.0,775.0,725.0,775.0,775.0,143,731.0,849.0,1007.0,,,,48.332418129605905,,,,1478.8834601890599,1007.0,535.1165398109401,14.85714285714286,10.095238095238095,KTRA
2013-03-27,750.0,780.0,750.0,780.0,780.0,9,737.0,814.5,961.0,,,,48.49882457724083,,,,1319.4215395313176,961.0,602.5784604686822,20.611111111111114,15.060846560846562,KTRA
2013-03-28,785.0,785.0,735.0,770.0,770.0,28,751.0,799.0,944.5,,,,48.16470983346907,,,,1306.1752687149067,944.5,582.8247312850933,26.277777777777782,20.582010582010582,KTRA
2013-04-01,780.0,825.0,780.0,825.0,825.0,80,776.0,782.0,933.25,,,,50.19691722391529,,,,1295.0963071526362,933.25,571.4036928473638,31.611111111111114,26.166666666666668,KTRA
2013-04-02,825.0,850.0,785.0,850.0,850.0,18,800.0,767.5,923.25,,,,51.13470595856775,,,,1282.6839299509716,923.25,563.8160700490283,38.00000000000001,31.962962962962962,KTRA
2013-04-03,850.0,875.0,835.0,875.0,875.0,32,820.0,775.5,914.5,,,,52.105920770008616,,,,1269.6605270859925,914.5,559.3394729140075,45.16835016835017,38.25982042648709,KTRA
2013-04-04,875.0,875.0,875.0,875.0,875.0,90,839.0,788.0,897.0,,,,52.105920770008616,,,,1222.4903992439715,897.0,571.5096007560285,48.67003367003368,43.946127946127945,KTRA
2013-04-05,900.0,900.0,900.0,900.0,900.0,7,865.0,808.0,880.75,,,,53.18503847508401,,,,1169.4933981929285,880.75,592.0066018070715,58.44480844480845,50.761064094397426,KTRA
2013-04-08,900.0,900.0,900.0,900.0,900.0,0,880.0,828.0,864.5,,,,53.18503847508401,,,,1106.758126798669,864.5,622.2418732013309,74.94312494312494,60.685989019322356,KTRA
2013-04-09,900.0,950.0,875.0,925.0,925.0,229,895.0,847.5,854.5,,,,54.37720853527499,,,,1067.6877107152286,854.5,641.3122892847714,88.87733887733889,74.08842408842408,KTRA
2013-04-10,950.0,950.0,935.0,935.0,935.0,14,907.0,863.5,856.25,,,,54.87225035921228,,,,1071.4679128232592,856.25,641.0320871767408,95.89743589743591,86.57263323929992,KTRA
2013-04-11,930.0,930.0,930.0,930.0,930.0,33,918.0,878.5,846.5,,,,54.55350973274924,-53.495378328388824,-100.02949607560736,46.53411774721853,1027.0020775503706,846.5,665.9979224496294,93.67521367521368,92.81666281666283,KTRA
