Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2007-10-25,11.0,11.0,11.0,11.0,11.0,0,,,,,,,,,,,,,,,,LIXT
2007-10-26,11.0,11.0,11.0,11.0,11.0,0,,,,,,,,,,,,,,,,LIXT
2007-10-29,11.0,11.0,11.0,11.0,11.0,0,,,,,,,,,,,,,,,,LIXT
2007-10-30,11.0,11.0,11.0,11.0,11.0,0,,,,,,,,,,,,,,,,LIXT
2007-10-31,11.0,11.0,11.0,11.0,11.0,0,11.0,,,,,,,,,,,,,,,LIXT
2007-11-01,11.0,11.0,11.0,11.0,11.0,0,11.0,,,,,,,,,,,,,,,LIXT
2007-11-02,11.0,11.0,11.0,11.0,11.0,0,11.0,,,,,,,,,,,,,,,LIXT
2007-11-05,11.0,11.0,11.0,11.0,11.0,0,11.0,,,,,,,,,,,,,,,LIXT
2007-11-06,11.0,11.0,11.0,11.0,11.0,0,11.0,,,,,,,,,,,,,,,LIXT
2007-11-07,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,,,,,,,,,,LIXT
2007-11-08,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,,,,,,,,,,LIXT
2007-11-09,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,,,,,,,,,,LIXT
2007-11-12,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,,,,,,,,,,LIXT
2007-11-13,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,,,,,,,,,,LIXT
2007-11-14,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,0.0,,,,,,,,,LIXT
2007-11-15,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,0.0,,,,,,,,,LIXT
2007-11-16,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,0.0,,,,,,,,,LIXT
2007-11-19,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,0.0,,,,,,,0.0,0.0,LIXT
2007-11-20,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,,,,,0.0,,,,,,,0.0,0.0,LIXT
2007-11-21,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,11.0,,,,0.0,,,,11.0,11.0,11.0,0.0,0.0,LIXT
2007-11-23,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,11.0,,,,0.0,,,,11.0,11.0,11.0,0.0,0.0,LIXT
2007-11-26,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,11.0,,,,0.0,,,,11.0,11.0,11.0,0.0,0.0,LIXT
2007-11-27,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,11.0,,,,0.0,,,,11.0,11.0,11.0,0.0,0.0,LIXT
2007-11-28,11.0,11.0,11.0,11.0,11.0,0,11.0,11.0,11.0,,,,0.0,,,,11.0,11.0,11.0,0.0,0.0,LIXT
