Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2017-08-18,90.0,90.0,90.0,90.0,90.0,100,,,,,,,,,,,,,,,,LVO
2017-08-21,90.0,90.0,90.0,90.0,90.0,0,,,,,,,,,,,,,,,,LVO
2017-08-22,90.0,90.0,90.0,90.0,90.0,0,,,,,,,,,,,,,,,,LVO
2017-08-23,90.0,90.0,90.0,90.0,90.0,0,,,,,,,,,,,,,,,,LVO
2017-08-24,90.0,90.0,90.0,90.0,90.0,0,90.0,,,,,,,,,,,,,,,LVO
2017-08-25,90.0,90.0,90.0,90.0,90.0,0,90.0,,,,,,,,,,,,,,,LVO
2017-08-28,90.0,90.0,90.0,90.0,90.0,0,90.0,,,,,,,,,,,,,,,LVO
2017-08-29,90.0,90.0,90.0,90.0,90.0,0,90.0,,,,,,,,,,,,,,,LVO
2017-08-30,90.0,90.0,90.0,90.0,90.0,0,90.0,,,,,,,,,,,,,,,LVO
2017-08-31,90.0,90.0,90.0,90.0,90.0,0,90.0,90.0,,,,,,,,,,,,,,LVO
2017-09-01,90.0,90.0,90.0,90.0,90.0,0,90.0,90.0,,,,,,,,,,,,,,LVO
2017-09-05,90.0,90.0,90.0,90.0,90.0,0,90.0,90.0,,,,,,,,,,,,,,LVO
2017-09-06,90.0,90.0,90.0,90.0,90.0,0,90.0,90.0,,,,,,,,,,,,,,LVO
2017-09-07,90.0,90.0,90.0,90.0,90.0,0,90.0,90.0,,,,,,,,,,,,,,LVO
2017-09-08,90.0,90.0,90.0,90.0,90.0,0,90.0,90.0,,,,,0.0,,,,,,,,,LVO
2017-09-11,90.0,90.0,90.0,90.0,90.0,0,90.0,90.0,,,,,0.0,,,,,,,,,LVO
2017-09-12,90.0,90.0,90.0,90.0,90.0,0,90.0,90.0,,,,,0.0,,,,,,,,,LVO
