Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1996-05-23,12.0,13.25,11.0,12.5,12.5,4194100,,,,,,,,,,,,,,,,NBIX
1996-05-24,12.25,13.0,11.75,11.75,11.75,623500,,,,,,,,,,,,,,,,NBIX
1996-05-28,11.75,12.125,10.75,10.875,10.875,592500,,,,,,,,,,,,,,,,NBIX
1996-05-29,10.75,11.125,10.75,10.875,10.875,225500,,,,,,,,,,,,,,,,NBIX
1996-05-30,10.75,11.0,10.5,10.75,10.75,157400,11.35,,,,,,,,,,,,,,,NBIX
1996-05-31,10.875,11.5,10.625,11.0,11.0,410600,11.05,,,,,,,,,,,,,,,NBIX
1996-06-03,11.0,11.25,10.5,10.75,10.75,129200,10.85,,,,,,,,,,,,,,,NBIX
1996-06-04,10.625,11.25,10.5,11.0,11.0,33500,10.875,,,,,,,,,,,,,,,NBIX
1996-06-05,10.9375,11.25,10.625,11.25,11.25,31800,10.95,,,,,,,,,,,,,,,NBIX
1996-06-06,11.0,11.25,10.5,10.5,10.5,125700,10.9,11.125,,,,,,,,,,,,,,NBIX
1996-06-07,10.5,10.875,10.5,10.5,10.5,104200,10.8,10.925,,,,,,,,,,,,,,NBIX
1996-06-10,10.6875,10.875,10.5,10.625,10.625,80900,10.775,10.8125,,,,,,,,,,,,,,NBIX
1996-06-11,11.0,11.0,10.5,10.5,10.5,14600,10.675,10.775,,,,,,,,,,,,,,NBIX
1996-06-12,10.9375,11.0,10.5,10.625,10.625,67200,10.55,10.75,,,,,,,,,,,,,,NBIX
1996-06-13,10.5,11.0,10.5,10.5,10.5,26000,10.55,10.725,,,,,25.0,,,,,,,,,NBIX
1996-06-14,10.75,11.25,10.75,11.0,11.0,37000,10.65,10.725,,,,,33.89830508474576,,,,,,,,,NBIX
1996-06-17,11.25,11.25,10.75,11.125,11.125,131600,10.75,10.7625,,,,,35.9444093493367,,,,,,,,,NBIX
1996-06-18,11.875,12.0,11.25,11.625,11.625,213400,10.975,10.825,,,,,43.48068430304849,,,,,,,56.08974358974359,32.98368298368299,NBIX
