Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2011-10-17,107.5,112.5,107.5,112.5,112.5,428,,,,,,,,,,,,,,,,NVFY
2011-10-18,125.0,125.0,87.5,115.0,115.0,392,,,,,,,,,,,,,,,,NVFY
2011-10-19,350.0,350.0,116.25,350.0,350.0,8,,,,,,,,,,,,,,,,NVFY
2011-10-20,350.0,350.0,350.0,350.0,350.0,0,,,,,,,,,,,,,,,,NVFY
2011-10-21,120.0,120.0,120.0,120.0,120.0,128,209.5,,,,,,,,,,,,,,,NVFY
2011-10-24,120.0,120.0,120.0,120.0,120.0,4,211.0,,,,,,,,,,,,,,,NVFY
2011-10-25,300.0,300.0,120.0,120.0,120.0,48,212.0,,,,,,,,,,,,,,,NVFY
2011-10-26,120.0,120.0,120.0,120.0,120.0,8,166.0,,,,,,,,,,,,,,,NVFY
2011-10-27,117.5,117.5,117.5,117.5,117.5,336,119.5,,,,,,,,,,,,,,,NVFY
2011-10-28,117.5,117.5,117.5,117.5,117.5,32,119.0,164.25,,,,,,,,,,,,,,NVFY
2011-10-31,117.5,117.5,112.5,112.5,112.5,64,117.5,164.25,,,,,,,,,,,,,,NVFY
2011-11-01,117.5,117.5,112.5,112.5,112.5,24,116.0,164.0,,,,,,,,,,,,,,NVFY
2011-11-02,112.5,112.5,112.5,112.5,112.5,16,114.5,140.25,,,,,,,,,,,,,,NVFY
2011-11-03,112.5,112.5,112.5,112.5,112.5,28,113.5,116.5,,,,,,,,,,,,,,NVFY
2011-11-04,112.5,112.5,112.5,112.5,112.5,32,112.5,115.75,,,,,50.0,,,,,,,,,NVFY
2011-11-07,112.5,112.5,112.5,112.5,112.5,12,112.5,115.0,,,,,50.0,,,,,,,,,NVFY
2011-11-08,112.5,112.5,112.5,112.5,112.5,8,112.5,114.25,,,,,50.0,,,,,,,,,NVFY
2011-11-09,112.5,112.5,100.0,112.5,112.5,80,112.5,113.5,,,,,50.0,,,,,,,2.0833333333333335,3.869047619047619,NVFY
2011-11-10,112.5,112.5,112.5,112.5,112.5,20,112.5,113.0,,,,,50.0,,,,,,,4.166666666666667,3.141534391534392,NVFY
2011-11-11,112.5,112.5,112.5,112.5,112.5,20,112.5,112.5,138.375,,,,50.0,,,,279.58649917765194,138.375,-2.836499177651973,6.25,4.166666666666667,NVFY
2011-11-14,112.5,114.75,112.5,114.75,114.75,184,112.95,112.725,138.4875,,,,50.36674966473898,,,,279.619926731067,138.4875,-2.6449267310669597,28.75,13.055555555555557,NVFY
2011-11-15,114.75,114.75,114.75,114.75,114.75,36,113.4,112.95,138.475,,,,50.366749664738975,,,,279.61578963928184,138.475,-2.665789639281826,54.76190476190476,29.92063492063492,NVFY
2011-11-16,112.5,112.75,112.5,112.5,112.5,132,113.4,112.95,126.6,,,,49.94190109730263,,,,229.27928223356454,126.6,23.920717766435445,76.48809523809524,53.333333333333336,NVFY
2011-11-17,112.5,112.5,112.5,112.5,112.5,0,113.4,112.95,114.725,,,,49.94190109730263,,,,120.82602450413071,114.725,108.62397549586927,75.71428571428572,68.98809523809524,NVFY
2011-11-18,114.75,114.75,114.75,114.75,114.75,4,113.85,113.175,114.4625,,,,50.42686120713069,,,,120.06445278452004,114.4625,108.86054721547997,75.71428571428572,75.97222222222223,NVFY
2011-11-21,114.75,114.75,114.75,114.75,114.75,0,113.85,113.4,114.2,,,,50.42686120713068,,,,119.1989998999798,114.2,109.20100010002021,85.23809523809524,78.8888888888889,NVFY
2011-11-22,114.75,114.75,114.75,114.75,114.75,0,113.85,113.625,113.9375,,,,50.42686120713069,,,,118.18566136699161,113.9375,109.68933863300839,94.76190476190476,85.23809523809524,NVFY
2011-11-23,114.75,114.75,114.75,114.75,114.75,0,114.3,113.85,113.675,,,,50.42686120713069,,,,116.92346117415585,113.675,110.42653882584415,100.0,93.33333333333333,NVFY
2011-11-25,112.25,112.25,105.0,105.0,105.0,464,112.8,113.1,113.05,,,,47.73161393179415,,,,117.645106092355,113.05,108.454893907645,77.96610169491525,90.90933548560668,NVFY
2011-11-28,93.75,93.75,93.75,93.75,93.75,20,108.6,111.225,111.8625,,,,44.75892852772768,,,,121.13675873048604,111.8625,102.58824126951396,44.632768361581924,74.19962335216573,NVFY
2011-11-29,100.0,100.0,100.0,100.0,100.0,4,105.65,109.75,111.2375,,,,46.74332769539261,,,,121.84466149589495,111.2375,100.63033850410504,21.22006994888351,47.939646668460234,NVFY
2011-11-30,100.0,105.0,100.0,105.0,105.0,48,103.7,108.775,110.8625,,,,48.34207051869142,,,,121.79007406746794,110.8625,99.93492593253205,27.777777777777782,31.210205362747747,NVFY
2011-12-01,105.0,112.25,105.0,112.25,112.25,64,103.2,108.75,110.85,,,,50.65519346930297,,,,121.77062269286918,110.85,99.9293773071308,57.142857142857146,35.38023495650615,NVFY
2011-12-02,112.25,112.25,105.0,111.25,111.25,36,104.45,108.625,110.7875,,,,50.32049532323462,-12.186277171854684,-15.835193383417264,3.6489162115625806,121.68391569508087,110.7875,99.89108430491912,75.00000000000001,53.306878306878325,NVFY
2011-12-05,105.0,110.0,105.0,110.0,110.0,28,107.7,108.15,110.6625,,,,49.87686302634556,-11.182789915831961,-14.904712689900204,3.7219227740682435,121.53479851503367,110.6625,99.79020148496632,82.93650793650794,71.69312169312171,NVFY
2011-12-06,110.0,110.0,110.0,110.0,110.0,28,109.7,107.675,110.5375,,,,49.87686302634556,-10.269142750391566,-13.977598701998478,3.7084559516069113,121.37986482507434,110.5375,99.69513517492565,79.36507936507937,79.10052910052912,NVFY
