Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2020-05-01,3916.0,3916.0,3880.0,3880.0,3880.0,55,,,,,,,,,,,,,,,,NVVE
2020-05-04,3880.0,3880.0,3880.0,3880.0,3880.0,0,,,,,,,,,,,,,,,,NVVE
2020-05-05,3920.0,3920.0,3904.0,3904.0,3904.0,30,,,,,,,,,,,,,,,,NVVE
2020-05-06,3904.0,3904.0,3904.0,3904.0,3904.0,30,,,,,,,,,,,,,,,,NVVE
2020-05-07,3964.0,3964.0,3964.0,3964.0,3964.0,40,3906.4,,,,,,,,,,,,,,,NVVE
2020-05-08,3940.0,3940.0,3912.0,3928.0,3928.0,37,3916.0,,,,,,,,,,,,,,,NVVE
2020-05-11,3928.0,3928.0,3928.0,3928.0,3928.0,0,3925.6,,,,,,,,,,,,,,,NVVE
2020-05-12,3928.0,3928.0,3928.0,3928.0,3928.0,0,3930.4,,,,,,,,,,,,,,,NVVE
2020-05-13,3928.0,3928.0,3928.0,3928.0,3928.0,250,3935.2,,,,,,,,,,,,,,,NVVE
2020-05-14,3932.0,3936.0,3932.0,3936.0,3936.0,25,3929.6,3918.0,,,,,,,,,,,,,,NVVE
2020-05-15,3940.0,3940.0,3931.60009765625,3931.60009765625,3931.60009765625,2,3930.32001953125,3923.160009765625,,,,,,,,,,,,,,NVVE
2020-05-18,3931.60009765625,3931.60009765625,3931.60009765625,3931.60009765625,3931.60009765625,0,3931.0400390625,3928.32001953125,,,,,,,,,,,,,,NVVE
2020-05-19,3960.0,3960.0,3924.0,3928.0,3928.0,22,3931.0400390625,3930.72001953125,,,,,,,,,,,,,,NVVE
2020-05-20,3960.0,3960.0,3924.0,3924.0,3924.0,12,3930.2400390625,3932.72001953125,,,,,,,,,,,,,,NVVE
2020-05-21,3924.0,3924.0,3924.0,3924.0,3924.0,0,3927.8400390625,3928.72001953125,,,,,65.71428571428571,,,,,,,,,NVVE
2020-05-22,3924.0,3924.0,3920.0,3924.0,3924.0,239,3926.32001953125,3928.32001953125,,,,,65.71428571428572,,,,,,,,,NVVE
2020-05-26,3924.0,3924.0,3924.0,3924.0,3924.0,0,3924.8,3927.92001953125,,,,,65.71428571428571,,,,,,,,,NVVE
2020-05-27,3924.0,3928.0,3924.0,3928.0,3928.0,65,3924.8,3927.92001953125,,,,,66.8956164693178,,,,,,,32.478632478632484,39.3976393976394,NVVE
2020-05-28,3928.0,3928.0,3928.0,3928.0,3928.0,0,3925.6,3927.92001953125,,,,,66.8956164693178,,,,,,,32.478632478632484,34.879934879934886,NVVE
2020-05-29,3928.0,3928.0,3928.0,3928.0,3928.0,0,3926.4,3927.12001953125,3922.560009765625,,,,66.8956164693178,,,,3958.941465292419,3922.560009765625,3886.1785542388316,28.034188034188038,30.997150997150996,NVVE
2020-06-01,3928.0,3928.0,3928.0,3928.0,3928.0,0,3927.2,3926.760009765625,3924.960009765625,,,,66.8956164693178,,,,3955.6881421326343,3924.960009765625,3894.2318773986153,24.444444444444446,28.31908831908832,NVVE
2020-06-02,3924.0,3924.0,3924.0,3924.0,3924.0,2,3927.2,3926.0,3927.160009765625,,,,63.93269556415143,,,,3949.9802189424026,3927.160009765625,3904.3398005888475,16.666666666666668,23.048433048433044,NVVE
2020-06-03,3928.0,3928.0,3928.0,3928.0,3928.0,4,3927.2,3926.0,3928.360009765625,,,,65.5747378518813,,,,3948.5556987395325,3928.360009765625,3908.1643207917173,16.666666666666668,19.259259259259256,NVVE
2020-06-04,3928.0,3928.0,3928.0,3928.0,3928.0,0,3927.2,3926.4,3929.560009765625,,,,65.57473785188128,,,,3946.3959760096986,3929.560009765625,3912.7240435215517,16.666666666666668,16.666666666666668,NVVE
2020-06-05,3960.0,3960.0,3920.0,3920.0,3920.0,34,3925.6,3926.0,3927.360009765625,,,,59.31136933541987,,,,3934.0790819673016,3927.360009765625,3920.6409375639482,13.333333333333336,15.555555555555555,NVVE
2020-06-08,3920.0,3920.0,3920.0,3920.0,3920.0,6,3924.0,3925.6,3926.960009765625,,,,59.31136933541987,,,,3934.3935797363715,3926.960009765625,3919.526439794878,6.666666666666669,12.222222222222221,NVVE
2020-06-09,3924.0,3924.0,3924.0,3924.0,3924.0,2,3924.0,3925.6,3926.760009765625,,,,61.44673351467006,,,,3934.285564770303,3926.760009765625,3919.234454760947,3.3333333333333357,7.777777777777778,NVVE
2020-06-10,3924.0,3932.0,3924.0,3932.0,3932.0,45,3924.8,3926.0,3926.960009765625,,,,65.36204081355362,,,,3934.812268199254,3926.960009765625,3919.1077513319956,13.333333333333336,7.777777777777778,NVVE
2020-06-11,3924.0,3932.0,3922.0,3932.0,3932.0,119,3925.6,3926.4,3927.160009765625,,,,65.36204081355362,,,,3935.306294002832,3927.160009765625,3919.013725528418,23.333333333333332,13.333333333333334,NVVE
