Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
1992-04-24,11.5,11.75,10.0,10.5,10.5,2309800,,,,,,,,,,,,,,,,OFIX
1992-04-27,10.5,10.875,10.375,10.75,10.75,575700,,,,,,,,,,,,,,,,OFIX
1992-04-28,10.75,10.75,10.375,10.375,10.375,104500,,,,,,,,,,,,,,,,OFIX
1992-04-29,10.5,11.375,10.5,10.75,10.75,220200,,,,,,,,,,,,,,,,OFIX
1992-04-30,10.75,11.375,10.75,10.875,10.875,15500,10.65,,,,,,,,,,,,,,,OFIX
1992-05-01,11.25,11.25,9.75,10.25,10.25,63500,10.6,,,,,,,,,,,,,,,OFIX
1992-05-04,10.5,10.75,10.25,10.75,10.75,47200,10.6,,,,,,,,,,,,,,,OFIX
1992-05-05,10.25,10.75,10.0,10.375,10.375,122000,10.6,,,,,,,,,,,,,,,OFIX
1992-05-06,10.25,11.875,10.25,10.75,10.75,229800,10.6,,,,,,,,,,,,,,,OFIX
1992-05-07,11.5,11.5,10.25,11.0,11.0,45000,10.625,10.6375,,,,,,,,,,,,,,OFIX
1992-05-08,10.375,10.75,10.0,10.5,10.5,144500,10.675,10.6375,,,,,,,,,,,,,,OFIX
1992-05-11,10.0,10.5,10.0,10.5,10.5,34400,10.625,10.6125,,,,,,,,,,,,,,OFIX
1992-05-12,10.0,10.75,10.0,10.75,10.75,14300,10.7,10.65,,,,,,,,,,,,,,OFIX
1992-05-13,10.0,10.75,10.0,10.5,10.5,17900,10.65,10.625,,,,,,,,,,,,,,OFIX
1992-05-14,10.75,10.75,10.0,10.0,10.0,16300,10.45,10.5375,,,,,44.73684210526315,,,,,,,,,OFIX
1992-05-15,10.0,10.75,10.0,10.0,10.0,5300,10.35,10.5125,,,,,44.73684210526316,,,,,,,,,OFIX
1992-05-18,10.5,10.5,10.0,10.0,10.0,3200,10.25,10.4375,,,,,44.73684210526315,,,,,,,,,OFIX
1992-05-19,10.0,10.125,10.0,10.0,10.0,15700,10.1,10.4,,,,,44.73684210526315,,,,,,,11.764705882352942,14.379084967320262,OFIX
1992-05-20,10.0,10.75,10.0,10.25,10.25,86400,10.05,10.35,,,,,48.39039710880694,,,,,,,15.686274509803923,13.071895424836603,OFIX
1992-05-21,10.5,11.25,10.0,10.0,10.0,111800,10.05,10.25,10.44375,,,,45.17411393931065,,,,11.083452079096183,10.44375,9.804047920903816,11.764705882352942,13.071895424836603,OFIX
1992-05-22,10.0,10.5,10.0,10.0,10.0,3800,10.05,10.2,10.41875,,,,45.17411393931065,,,,11.08618445371069,10.41875,9.751315546289309,7.843137254901961,11.764705882352942,OFIX
1992-05-26,10.0,10.5,10.0,10.0,10.0,6900,10.05,10.15,10.38125,,,,45.17411393931065,,,,11.054279531298608,10.38125,9.708220468701391,1.1842378929335002e-15,6.535947712418301,OFIX
1992-05-27,10.0,10.5,10.0,10.5,10.5,10800,10.15,10.125,10.3875,,,,52.98060974511324,,,,11.062500000000039,10.3875,9.71249999999996,11.111111111111114,6.318082788671025,OFIX
1992-05-28,10.0,10.375,9.75,9.875,9.875,17000,10.075,10.0625,10.34375,,,,44.45894703737252,,,,11.03238542604195,10.34375,9.65511457395805,13.888888888888893,8.333333333333336,OFIX
1992-05-29,9.75,9.75,9.75,9.75,9.75,1700,10.025,10.0375,10.2875,,,,42.97030425481415,,,,10.97715571120667,10.2875,9.597844288793329,13.888888888888893,12.962962962962967,OFIX
1992-06-01,9.75,10.25,9.75,9.75,9.75,32000,9.975,10.0125,10.2625,,,,42.97030425481415,,,,10.990940114216702,10.2625,9.534059885783297,2.777777777777781,10.185185185185189,OFIX
1992-06-02,10.0,10.375,9.75,10.25,10.25,30100,10.025,10.0375,10.2375,,,,50.63782514100469,,,,10.930771231193084,10.2375,9.544228768806917,11.111111111111114,9.259259259259263,OFIX
